date,currency_symbol,totalCashFromOperatingActivities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,freeCashFlow,netIncome,beginPeriodCashFlow,endPeriodCashFlow,changeInCash,depreciation,changeInWorkingCapital,capitalExpenditures,dividendsPaid,totalRevenue,grossProfit,operatingIncome,ebitda,costOfRevenue,sellingGeneralAdministrative,researchDevelopment,totalOperatingExpenses,cash,cashAndEquivalents,shortTermInvestments,cashAndShortTermInvestments,totalCurrentAssets,totalCurrentLiabilities,inventory,netReceivables,accountsPayable,netWorkingCapital,totalAssets,longTermDebt,totalStockholderEquity,longTermInvestments,revenue_growth_rate,fcf_margin,working_capital,working_capital_pct_revenue,ocf_conversion,year
30/9/1989,USD,507300000,,-38300000,268300000,454000000,372400000,438300000,65900000,124800000,-109000000,239000000,50300000,5284000000,2714000000,634300000,759100000,2570000000,1954900000,,2079700000,438300000,438300000,,438300000,2294400000,895300000,475400000,792800000,334200000,1399100000,2743900000,,1485700000,,,0.05077592732778198,1399100000,0.26478046934140803,1.1174008810572686,1989
30/9/1990,USD,963900000,,-454000000,739600000,474900000,438300000,374700000,-63600000,202700000,145300000,224300000,53800000,5558400000,3154900000,712000000,914700000,2403500000,2240200000,,2442900000,374700000,374700000,,374700000,2403300000,1027000000,355500000,761900000,340600000,1376300000,2975700000,5437000,1446800000,,0.051930355791067306,0.13305987334484745,1376300000,0.24760722510074842,2.0296904611497157,1990
30/9/1991,USD,128700000,,42500000,-89600000,309800000,374700000,604200000,229500000,204400000,-400700000,218300000,56500000,6308800000,3199100000,447300000,651700000,3109700000,2547400000,,2751800000,604100000,604100000,,604100000,2863600000,1217100000,671700000,907200000,357100000,1646500000,3493600000,18131000,1766700000,,0.13500287852619453,-0.014202384,1646500000,0.2609846563530307,0.4154293092317624,1991
30/9/1992,USD,883700000,-912634000,-76700000,688800000,530400000,604100000,498500000,-105600000,217200000,20700000,194853000,57200000,7086542000,3312300000,805700000,1081332000,3991337000,2289400000,602135000,2289397000,498600000,498600000,,498600000,3558400000,1425500000,580100000,1087200000,426900000,2132900000,4223700000,17740000,2187400000,,0.1232789119959421,0.09719832324425651,2132900000,0.3009789541923268,1.6661010558069382,1992
30/9/1993,USD,-661800000,492766000,346900000,-874900000,86600000,498600000,676500000,177900000,166100000,-946700000,213118000,55600000,7977000000,2894300000,81100000,318000000,5249000000,2617800000,665000000,2618000000,676400000,676400000,215890000,676400000,4338400000,2515200000,1506600000,1381900000,742600000,1823200000,5171400000,7117000,2026400000,,0.12565479750208208,-0.109677824,1823200000,0.22855710166729346,-7.642032333,1993
30/9/1994,USD,736995000,-1802000,-208118000,577408000,310178000,676413000,1203488000,527075000,167958000,247729000,159587000,56572000,9188748000,2343833000,522274000,708000000,6844915000,1384111000,564303000,1821000000,1203488000,1203488000,54368000,1257856000,4476452000,1944305000,1088434000,1581347000,881717000,2532147000,5302746000,305000000,2383301000,,0.15190522752914637,0.062838593462352,2532147000,0.27557040415081574,2.3760389195881073,1994
30/9/1995,USD,-240000000,-402000000,195000000,-399000000,424000000,1203000000,756000000,-447000000,127000000,-797000000,159000000,58000000,11062000000,2858000000,684000000,849000000,8204000000,1583000000,614000000,2174000000,756000000,756000000,196000000,952000000,5224000000,2325000000,1775000000,1931000000,1165000000,2899000000,6231000000,303000000,2901000000,,0.20386368197277793,-0.036069427,2899000000,0.26206834207195806,-0.566037736,1995
30/9/1996,USD,519000000,-119000000,396000000,452000000,-816000000,756000000,1552000000,796000000,156000000,1109000000,67000000,14000000,9833000000,968000000,-1204000000,-1119000000,8865000000,1568000000,604000000,2351000000,1552000000,1552000000,193000000,1745000000,4515000000,2003000000,662000000,1496000000,791000000,2512000000,5364000000,949000000,2058000000,,-0.111101067,0.04596765992067528,2512000000,0.2554662869927794,-0.636029412,1996
30/9/1997,USD,188000000,-499000000,23000000,135000000,-1045000000,1552000000,1230000000,-322000000,118000000,670000000,53000000,0,7081000000,1368000000,-778000000,-856000000,5713000000,1286000000,860000000,2438000000,1230000000,1230000000,229000000,1459000000,3424000000,1818000000,437000000,1035000000,685000000,1606000000,4233000000,951000000,1200000000,,-0.279873894,0.01906510379889846,1606000000,0.2268041237113402,-0.179904306,1997
30/9/1998,USD,775000000,-543000000,19000000,719000000,309000000,1230000000,1481000000,251000000,111000000,387000000,56000000,0,5941000000,1479000000,299000000,502000000,4462000000,908000000,310000000,1218000000,1481000000,1481000000,819000000,2300000000,3698000000,1520000000,78000000,955000000,719000000,2178000000,4289000000,954000000,1642000000,,-0.16099421,0.12102339673455648,2178000000,0.36660494866184146,2.5080906148867315,1998
