Year, iPhone , Accessories , Mac , iPad , iPod , Services , Americas , Europe , Japan ," Greater China (China, Hong Kong and Taiwan) ", Rest of Asia Pacific , Retail , Other Segments , Total net sales 
2007,123000000,1260000000,10314000000,0,8305000000,4004000000,11596000000,5460000000,1082000000,0,0,4115000000,1753000000,24006000000
2008,1844000000,1659000000,14276000000,0,9153000000,5547000000,14573000000,7622000000,1509000000,0,0,6315000000,2460000000,32479000000
2009,6754000000,1470000000,13780000000,0,8091000000,6442000000,16142000000,9365000000,1831000000,0,0,6574000000,2625000000,36537000000
2010,25179000000,1814000000,17479000000,4958000000,8274000000,7521000000,24498000000,18692000000,3981000000,0,8256000000,9798000000,0,65225000000
2011,47057000000,2330000000,21783000000,20358000000,7453000000,9268000000,38315000000,27778000000,5437000000,0,22592000000,14127000000,0,1.08E+11
2012,80477000000,2778000000,23221000000,32424000000,5615000000,11993000000,57512000000,36323000000,10571000000,22533000000,10741000000,18828000000,0,1.57E+11
2013,91279000000,5706000000,21483000000,31980000000,4411000000,16051000000,62739000000,37883000000,13462000000,25417000000,11181000000,20228000000,0,1.71E+11
2014,1.01991E+11,6093000000,24079000000,30283000000,2286000000,18063000000,65232000000,40929000000,14982000000,29846000000,10344000000,21462000000,0,1.83E+11
2015,1.55041E+11,10067000000,25471000000,23227000000,0,19909000000,93864000000,50337000000,15706000000,58715000000,15093000000,0,0,2.34E+11
2016,1.367E+11,11132000000,22831000000,20628000000,0,24348000000,86613000000,49952000000,16928000000,48492000000,13654000000,0,0,2.16E+11
2017,1.41319E+11,12863000000,25850000000,19222000000,0,29980000000,96600000000,54938000000,17733000000,44764000000,15199000000,0,0,2.29E+11
2018,1.66699E+11,17417000000,25484000000,18805000000,0,37190000000,1.12093E+11,62420000000,21733000000,51942000000,17407000000,0,0,2.65595E+11
2019,1.42381E+11,24482000000,25740000000,21280000000,0,46391000000,1.16914E+11,60288000000,21506000000,43678000000,17788000000,0,0,2.60174E+11
2020,1.37781E+11,30620000000,28622000000,23724000000,0,53768000000,1.24556E+11,68640000000,21418000000,40308000000,19593000000,0,0,2.74515E+11
2021,1.91973E+11,38367000000,35190000000,31862000000,0,68425000000,1.53306E+11,89307000000,28482000000,68366000000,26356000000,0,0,3.65817E+11
2022,2.05489E+11,41241000000,40177000000,29292000000,0,78129000000,1.69658E+11,95118000000,25977000000,74200000000,29375000000,0,0,3.94328E+11
2023,2.00583E+11,39845000000,29357000000,28300000000,0,85200000000,1.6256E+11,94294000000,24257000000,72559000000,29615000000,0,0,3.83285E+11
2024,2.01183E+11,37005000000,29984000000,26694000000,0,96169000000,1.67045E+11,1.01328E+11,25052000000,66952000000,30658000000,0,0,3.91035E+11
