date,currency_symbol,cash,cashAndEquivalents,shortTermInvestments,cashAndShortTermInvestments,totalCurrentAssets,totalCurrentLiabilities,inventory,netReceivables,accountsPayable,netWorkingCapital,totalAssets,longTermDebt,totalStockholderEquity,longTermInvestments
1985-09-30,USD,337000000.0,337000000.0,,337000000.0,822100000.0,295400000.0,167000000.0,220200000.0,,,936200000.0,,550500000.0,
1986-09-30,USD,576200000.0,576200000.0,,576200000.0,1040900000.0,328500000.0,108700000.0,263100000.0,,,1160100000.0,,694100000.0,
1987-09-30,USD,565100000.0,565100000.0,,565100000.0,1307400000.0,478700000.0,225800000.0,405600000.0,,,1477900000.0,,836500000.0,
1988-09-30,USD,545700000.0,545700000.0,,545700000.0,1783000000.0,827100000.0,461500000.0,638800000.0,,,2082100000.0,,1003400000.0,
1989-09-30,USD,438300000.0,438300000.0,,438300000.0,2294400000.0,895300000.0,475400000.0,792800000.0,334200000.0,,2743900000.0,,1485700000.0,
1990-09-30,USD,374700000.0,374700000.0,,374700000.0,2403300000.0,1027000000.0,355500000.0,761900000.0,340600000.0,,2975700000.0,,1446800000.0,
1991-09-30,USD,604100000.0,604100000.0,,604100000.0,2863600000.0,1217100000.0,671700000.0,907200000.0,357100000.0,,3493600000.0,,1766700000.0,
1992-09-30,USD,498600000.0,498600000.0,,498600000.0,3558400000.0,1425500000.0,580100000.0,1087200000.0,426900000.0,,4223700000.0,,2187400000.0,
1993-09-30,USD,676400000.0,676400000.0,215890000.0,676400000.0,4338400000.0,2515200000.0,1506600000.0,1381900000.0,742600000.0,,5171400000.0,,2026400000.0,
1994-09-30,USD,1203488000.0,1203488000.0,54368000.0,1257856000.0,4476452000.0,1944305000.0,1088434000.0,1581347000.0,881717000.0,,5302746000.0,,2383301000.0,
1995-09-30,USD,756000000.0,756000000.0,196000000.0,952000000.0,5224000000.0,2325000000.0,1775000000.0,1931000000.0,1165000000.0,,6231000000.0,,2901000000.0,
1996-09-30,USD,1552000000.0,1552000000.0,193000000.0,1745000000.0,4515000000.0,2003000000.0,662000000.0,1496000000.0,791000000.0,,5364000000.0,,2058000000.0,
1997-09-30,USD,1230000000.0,1230000000.0,229000000.0,1459000000.0,3424000000.0,1818000000.0,437000000.0,1035000000.0,685000000.0,,4233000000.0,,1200000000.0,
1998-09-30,USD,1481000000.0,1481000000.0,819000000.0,2300000000.0,3698000000.0,1520000000.0,78000000.0,955000000.0,719000000.0,,4289000000.0,,1642000000.0,
1999-09-30,USD,1326000000.0,1326000000.0,1900000000.0,3226000000.0,4285000000.0,1549000000.0,20000000.0,681000000.0,812000000.0,,5161000000.0,,3104000000.0,
2000-09-30,USD,1191000000.0,1191000000.0,2836000000.0,4027000000.0,5427000000.0,1933000000.0,33000000.0,953000000.0,1157000000.0,,6803000000.0,300000000.0,4107000000.0,
2001-09-30,USD,2310000000.0,2310000000.0,2026000000.0,4336000000.0,5143000000.0,1518000000.0,11000000.0,466000000.0,801000000.0,,6021000000.0,317000000.0,3920000000.0,
2002-09-30,USD,2252000000.0,2252000000.0,2085000000.0,4337000000.0,5388000000.0,1658000000.0,45000000.0,565000000.0,911000000.0,,6298000000.0,316000000.0,4095000000.0,
2003-09-30,USD,3396000000.0,3396000000.0,1170000000.0,4566000000.0,5887000000.0,2357000000.0,56000000.0,950000000.0,1154000000.0,,6815000000.0,,4223000000.0,
2004-09-30,USD,2969000000.0,2969000000.0,2495000000.0,5464000000.0,7055000000.0,2680000000.0,101000000.0,1050000000.0,1451000000.0,,8050000000.0,,5076000000.0,
2005-09-30,USD,3491000000.0,3491000000.0,4770000000.0,8261000000.0,10300000000.0,3484000000.0,165000000.0,1312000000.0,1779000000.0,,11551000000.0,,7466000000.0,
2006-09-30,USD,6392000000.0,6392000000.0,3718000000.0,10110000000.0,14509000000.0,6471000000.0,270000000.0,2845000000.0,3390000000.0,,17205000000.0,,9984000000.0,
2007-09-30,USD,9352000000.0,9352000000.0,6034000000.0,15386000000.0,21956000000.0,9299000000.0,346000000.0,4029000000.0,4970000000.0,,25347000000.0,,14532000000.0,
2008-09-30,USD,11875000000.0,11875000000.0,12615000000.0,24490000000.0,34690000000.0,14092000000.0,509000000.0,2422000000.0,5520000000.0,,39572000000.0,,21030000000.0,
2009-09-30,USD,5263000000.0,5263000000.0,18201000000.0,23464000000.0,36265000000.0,19282000000.0,455000000.0,3361000000.0,5601000000.0,,53851000000.0,,27832000000.0,10528000000.0
2010-09-30,USD,11261000000.0,11261000000.0,14359000000.0,25620000000.0,41678000000.0,20722000000.0,1051000000.0,5510000000.0,12015000000.0,,75183000000.0,,47791000000.0,25391000000.0
2011-09-30,USD,9815000000.0,9815000000.0,16137000000.0,25952000000.0,44988000000.0,27970000000.0,776000000.0,5369000000.0,14632000000.0,,116371000000.0,,76615000000.0,55618000000.0
2012-09-30,USD,10746000000.0,10746000000.0,18383000000.0,29129000000.0,57653000000.0,38542000000.0,791000000.0,5551000000.0,21175000000.0,,176064000000.0,,118210000000.0,92122000000.0
2013-09-30,USD,14259000000.0,14259000000.0,26287000000.0,40546000000.0,73286000000.0,43658000000.0,1764000000.0,2172000000.0,22367000000.0,,207000000000.0,16960000000.0,123549000000.0,106215000000.0
2014-09-30,USD,13844000000.0,13844000000.0,11233000000.0,25077000000.0,68531000000.0,63448000000.0,2111000000.0,4232000000.0,30196000000.0,,231839000000.0,28987000000.0,111547000000.0,130162000000.0
2015-09-30,USD,21120000000.0,21120000000.0,20481000000.0,41601000000.0,89378000000.0,80610000000.0,2349000000.0,417000000.0,35490000000.0,,290479000000.0,53463000000.0,119355000000.0,164065000000.0
2016-09-30,USD,20484000000.0,20484000000.0,46671000000.0,67155000000.0,106869000000.0,79006000000.0,2132000000.0,527000000.0,37294000000.0,,321686000000.0,75427000000.0,128249000000.0,170430000000.0
