date,currency_symbol,cash,cashAndEquivalents,shortTermInvestments,cashAndShortTermInvestments,totalCurrentAssets,totalCurrentLiabilities,inventory,netReceivables,accountsPayable,netWorkingCapital,totalAssets,longTermDebt,totalStockholderEquity,longTermInvestments
1985-09-30,USD,337000000.0,337000000.0,0.0,337000000.0,822100000.0,295400000.0,167000000.0,220200000.0,,,936200000.0,,550500000.0,
1985-12-31,USD,,,,,,,,,,,,,,
1986-03-31,USD,,,,,,,,,,,,,,
1986-06-30,USD,,,,,,,,,,,,,,
1986-09-30,USD,576200000.0,576200000.0,0.0,576200000.0,1040900000.0,328500000.0,108700000.0,263100000.0,,,1160100000.0,,694100000.0,
1986-12-31,USD,,,,,,,,,,,,,,
1987-03-31,USD,,,,,,,,,,,,,,
1987-06-30,USD,,,,,,,,,,,,,,
1987-09-30,USD,565100000.0,565100000.0,0.0,565100000.0,1307400000.0,478700000.0,225800000.0,405600000.0,,,1477900000.0,,836500000.0,
1987-12-31,USD,,,,,,,,,,,,,,
1988-03-31,USD,,,,,,,,,,,,,,
1988-06-30,USD,,,,,,,,,,,,,,
1988-09-30,USD,545700000.0,545700000.0,0.0,545700000.0,1783000000.0,827100000.0,461500000.0,638800000.0,,,2082100000.0,,1003400000.0,
1988-12-31,USD,,,,,,,,,,,,,,
1989-03-31,USD,,,,,,,,,,,,,,
1989-06-30,USD,,,,,,,,,,,,,,
1989-09-30,USD,438300000.0,438300000.0,0.0,438300000.0,2294400000.0,895300000.0,475400000.0,792800000.0,334200000.0,,2743900000.0,,1485700000.0,
1989-12-31,USD,410500000.0,410500000.0,0.0,410500000.0,2325500000.0,892700000.0,426600000.0,749000000.0,258700000.0,,2813300000.0,,1523800000.0,
1990-03-31,USD,645800000.0,645800000.0,0.0,645800000.0,2269700000.0,774300000.0,312500000.0,658800000.0,235800000.0,,2775700000.0,,1550900000.0,
1990-06-30,USD,665000000.0,665000000.0,0.0,665000000.0,2339000000.0,886900000.0,291900000.0,705500000.0,279100000.0,,2889500000.0,,1506800000.0,
1990-09-30,USD,374700000.0,374700000.0,0.0,374700000.0,2403300000.0,1027000000.0,355500000.0,761900000.0,340600000.0,,2975700000.0,,1446800000.0,
1990-12-31,USD,739300000.0,739300000.0,0.0,739300000.0,2544000000.0,1072300000.0,408500000.0,853500000.0,417300000.0,,3157300000.0,,1545100000.0,
1991-03-31,USD,874300000.0,874300000.0,0.0,874300000.0,2812900000.0,996200000.0,620900000.0,790900000.0,421000000.0,,3422200000.0,,1814400000.0,
1991-06-30,USD,773700000.0,773700000.0,0.0,773700000.0,2828300000.0,1286800000.0,733300000.0,767100000.0,361700000.0,,3455500000.0,,1666300000.0,
1991-09-30,USD,604100000.0,604100000.0,0.0,604100000.0,2863600000.0,1217100000.0,671700000.0,907200000.0,357100000.0,,3493600000.0,,1766700000.0,
