date,date,filing_date,currency_symbol,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding
1985-09-30,1985-09-30,1985-09-30,USD,936200000.00,,,97900000.00,385700000.00,550500000.00,,295400000.00,,,320300000.00,,,,337000000.00,337000000.00,295400000.00,,-337000000.00,,,,315400000.00,90400000.00,822100000.00,,,0.00,220200000.00,,167000000.00,,,,,-85200000.00,,,,,,,23700000.00,,114100000.00,,,,90300000.00,,,,,936200000.00,337000000.00,,90400000.00,,,,13837824000.00
1985-12-31,1985-12-31,1985-12-31,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13837824000.00
1986-03-31,1986-03-31,1986-03-31,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14033600000.00
1986-06-30,1986-06-30,1986-06-30,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14260064000.00
1986-09-30,1986-09-30,1986-09-30,USD,1160100000.00,,,92900000.00,466000000.00,694100000.00,,328500000.00,,,474300000.00,,,,576200000.00,576200000.00,328500000.00,,-576200000.00,,,,334500000.00,107300000.00,1040900000.00,,,0.00,263100000.00,,108700000.00,,,,,-114700000.00,,,,,,,11900000.00,,119200000.00,,,,137500000.00,,,,,1160100000.00,576200000.00,,107300000.00,,,,14260064000.00
1986-12-31,1986-12-31,1986-12-31,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14260064000.00
1987-03-31,1987-03-31,1987-03-31,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14028672000.00
1987-06-30,1987-06-30,1987-06-30,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14028672000.00
1987-09-30,1987-09-30,1987-09-30,USD,1477900000.00,,,110900000.00,641400000.00,836500000.00,,478700000.00,,,573100000.00,,,,565100000.00,565100000.00,478700000.00,,-565100000.00,,,,422100000.00,130400000.00,1307400000.00,,,0.00,405600000.00,,225800000.00,,,,,-158700000.00,,,,,,,40100000.00,,170500000.00,,,,162700000.00,,,,,1477900000.00,565100000.00,,130400000.00,,,,14063280000.00
1987-12-31,1987-12-31,1987-12-31,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14063280000.00
1988-03-31,1988-03-31,1988-03-31,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13946352000.00
1988-06-30,1988-06-30,1988-06-30,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14622720000.00
1988-09-30,1988-09-30,1988-09-30,USD,2082100000.00,,,137000000.00,1078700000.00,1003400000.00,,699200000.00,,,776500000.00,,,,545700000.00,545700000.00,827100000.00,,-417800000.00,127900000.00,,127900000.00,439900000.00,207400000.00,1783000000.00,,,0.00,638800000.00,,461500000.00,,,,,-213000000.00,,,,,,,91700000.00,,299100000.00,,,,251600000.00,,,,,2082100000.00,545700000.00,,207400000.00,,,,14285264000.00
1988-12-31,1988-12-31,1988-12-31,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14285264000.00
1989-03-31,1989-03-31,1989-03-31,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14307664000.00
1989-06-30,1989-06-30,1989-06-30,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13889792000.00
1989-09-30,1989-09-30,1989-09-30,USD,2743900000.00,,,587900000.00,1258200000.00,1485700000.00,,504300000.00,,,1175900000.00,,,,438300000.00,438300000.00,895300000.00,,-381500000.00,56800000.00,,56800000.00,618900000.00,334200000.00,2294400000.00,,,0.00,792800000.00,,475400000.00,334200000.00,,,,-309100000.00,,,,,,,115300000.00,,449500000.00,,,,362900000.00,,,,,2743900000.00,438300000.00,,334200000.00,,,,14560000000.00
1989-12-31,1989-12-31,1989-12-31,USD,2813300000.00,,,739400000.00,1289500000.00,1523800000.00,,566100000.00,,,1247500000.00,,,,410500000.00,410500000.00,892700000.00,,-342600000.00,67900000.00,,67900000.00,618700000.00,361900000.00,2325500000.00,,,0.00,749000000.00,,426600000.00,258700000.00,,,,-342400000.00,,,,,,,125900000.00,,487800000.00,,,,396800000.00,,,,,2813300000.00,410500000.00,,361900000.00,,,,14560000000.00
1990-03-31,1990-03-31,1990-03-31,USD,2775700000.00,,,652600000.00,1224800000.00,1550900000.00,,518500000.00,,,1341300000.00,,,,645800000.00,645800000.00,774300000.00,,-625800000.00,20000000.00,,20000000.00,587100000.00,368300000.00,2269700000.00,,,0.00,658800000.00,,312500000.00,235800000.00,,,,-377500000.00,,,,,,,137700000.00,,506000000.00,,,,450500000.00,,,,,2775700000.00,645800000.00,,368300000.00,,,,14193846154.00
1990-06-30,1990-06-30,1990-06-30,USD,2889500000.00,,,676600000.00,1382700000.00,1506800000.00,,582900000.00,,,1334800000.00,,,,665000000.00,665000000.00,886900000.00,,-640100000.00,24900000.00,,24900000.00,586700000.00,378700000.00,2339000000.00,,,0.00,705500000.00,,291900000.00,279100000.00,,,,-414700000.00,,,,,,,171800000.00,,550500000.00,,,,495800000.00,,,,,2889500000.00,665000000.00,,378700000.00,,,,13976666667.00
1990-09-30,1990-09-30,1990-09-30,USD,2975700000.00,,,911200000.00,1528900000.00,1446800000.00,,563800000.00,,,1312200000.00,,,,374700000.00,374700000.00,1027000000.00,,-252100000.00,122600000.00,,122600000.00,581300000.00,398200000.00,2403300000.00,,,0.00,761900000.00,,355500000.00,340600000.00,,,,-446700000.00,,,,,,,174200000.00,,572400000.00,,,,501900000.00,,,,,2975700000.00,374700000.00,,398200000.00,,,,13168750000.00
1990-12-31,1990-12-31,1990-12-31,USD,3157300000.00,,,542700000.00,1612200000.00,1545100000.00,,632000000.00,,,1405300000.00,,,,739300000.00,739300000.00,1072300000.00,,-716300000.00,23000000.00,,23000000.00,620500000.00,436300000.00,2544000000.00,,,0.00,853500000.00,,408500000.00,417300000.00,,,,-480700000.00,,,,,,,177000000.00,,613300000.00,,,,539900000.00,,,,,3157300000.00,739300000.00,,436300000.00,,,,13168750000.00
1991-03-31,1991-03-31,1991-03-31,USD,3422200000.00,,,526800000.00,1607800000.00,1814400000.00,,569200000.00,,,1520500000.00,,,,874300000.00,874300000.00,996200000.00,,-868300000.00,6000000.00,,6000000.00,807800000.00,435900000.00,2812900000.00,,,0.00,790900000.00,,620900000.00,421000000.00,,,,-513900000.00,,,,,,,173400000.00,,609300000.00,,,,611600000.00,,,,,3422200000.00,874300000.00,,435900000.00,,,,13595555556.00
1991-06-30,1991-06-30,1991-06-30,USD,3455500000.00,,,554200000.00,1789200000.00,1666300000.00,,768800000.00,,,1426800000.00,,,,773700000.00,773700000.00,1286800000.00,,-617400000.00,156300000.00,,156300000.00,792200000.00,445100000.00,2828300000.00,,,0.00,767100000.00,,733300000.00,361700000.00,,,,-552700000.00,,,,,,,182100000.00,,627200000.00,,,,502400000.00,,,,,3455500000.00,773700000.00,,445100000.00,,,,13516363636.00
1991-09-30,1991-09-30,1991-09-30,USD,3493600000.00,,,680600000.00,1726900000.00,1766700000.00,,711400000.00,,,1492000000.00,,,,604100000.00,604100000.00,1217100000.00,,-455500000.00,148600000.00,,148600000.00,862700000.00,448000000.00,2863600000.00,,,0.00,907200000.00,,671700000.00,357100000.00,,,,-588000000.00,,,,,,,182000000.00,,630000000.00,,,,509800000.00,,,,,3493600000.00,604100000.00,,448000000.00,,,,13670588235.00
1991-12-31,1991-12-31,1991-12-31,USD,3745500000.00,,,924700000.00,1822700000.00,1922800000.00,,824300000.00,,,1639300000.00,,,,530100000.00,530100000.00,1270800000.00,,-484400000.00,45700000.00,,45700000.00,874000000.00,456100000.00,3071600000.00,,,0.00,973500000.00,,643300000.00,400800000.00,,,,-590500000.00,,,,,,,217800000.00,,673900000.00,,,,551900000.00,,,,,3745500000.00,530100000.00,,456100000.00,,,,13670588235.00
1992-03-31,1992-03-31,1992-03-31,USD,3940900000.00,,,1074300000.00,1853900000.00,2087000000.00,,773600000.00,,,1739800000.00,,,,766800000.00,766800000.00,1250900000.00,,-630500000.00,136300000.00,,136300000.00,937700000.00,457900000.00,3256900000.00,,,0.00,873300000.00,,542500000.00,341000000.00,,,,-590500000.00,,,,,,,226100000.00,,684000000.00,,,,603000000.00,,,,,3940900000.00,766800000.00,,457900000.00,,,,13755636364.00
1992-06-30,1992-06-30,1992-06-30,USD,4121200000.00,,,1199500000.00,1999800000.00,2121400000.00,,788100000.00,,,1831200000.00,,,,731300000.00,731300000.00,1357700000.00,,-551100000.00,180200000.00,,180200000.00,880700000.00,467900000.00,3423200000.00,,,0.00,956600000.00,,535800000.00,389400000.00,,,,-590500000.00,,,,,,,230100000.00,,698000000.00,,,,642100000.00,,,,,4121200000.00,731300000.00,,467900000.00,,,,13657777778.00
1992-09-30,1992-09-30,1992-09-30,USD,4223700000.00,,,1392500000.00,2036300000.00,2187400000.00,,814100000.00,,,1904500000.00,,,,498600000.00,498600000.00,1425500000.00,,-314100000.00,184500000.00,,184500000.00,956300000.00,462200000.00,3558400000.00,,,0.00,1087200000.00,,580100000.00,426900000.00,,,,-673400000.00,,,,,,,203100000.00,,665300000.00,,,,610800000.00,,,,,4223700000.00,498600000.00,,462200000.00,,,,13481791045.00
1992-12-31,1992-12-31,1992-12-31,USD,4494600000.00,,,1323600000.00,2211800000.00,2282800000.00,,880000000.00,,,2026500000.00,,,,584400000.00,584400000.00,1537800000.00,,-393800000.00,190600000.00,,190600000.00,945800000.00,639300000.00,3703300000.00,,,0.00,1198700000.00,,596600000.00,467200000.00,,,,-689500000.00,,,,,,,152000000.00,,791300000.00,,,,674000000.00,,,,,4494600000.00,584400000.00,,639300000.00,,,,13569472000.00
1993-03-31,1993-03-31,1993-03-31,USD,4470100000.00,,,931500000.00,2183900000.00,2286200000.00,,795900000.00,,,2077300000.00,,,,560600000.00,560600000.00,1469500000.00,,-500700000.00,59900000.00,,59900000.00,932600000.00,650300000.00,3654600000.00,,,0.00,1285700000.00,,876800000.00,613700000.00,,,,-723700000.00,,,,,,,165200000.00,,815500000.00,,,,714400000.00,,,,,4470100000.00,560600000.00,,650300000.00,,,,13500869565.00
1993-06-30,1993-06-30,1993-06-30,USD,4768000000.00,,,1023100000.00,2747500000.00,2020500000.00,,1129500000.00,,,1856300000.00,,,,393200000.00,393200000.00,2097200000.00,,-85000000.00,308200000.00,,308200000.00,919600000.00,659500000.00,3920400000.00,,,0.00,1265400000.00,,1238700000.00,659500000.00,,,,-755400000.00,,,,,,,188100000.00,,847600000.00,,,,650300000.00,,,,,4768000000.00,393200000.00,,659500000.00,,,,13489557522.00
1993-09-30,1993-09-30,1993-09-30,USD,5171400000.00,,,773500000.00,3145000000.00,2026400000.00,,949400000.00,203613000.00,,1842600000.00,,,,676400000.00,676400000.00,2515200000.00,627258000.00,146800000.00,823200000.00,,823200000.00,936900000.00,659500000.00,4554290000.00,,,215890000.00,1381900000.00,,1506600000.00,742600000.00,,,,-753100000.00,,,,,,,173500000.00,,833000000.00,,,,629800000.00,,,,,5171400000.00,676400000.00,,659500000.00,,,,13099072000.00
1993-12-31,1993-12-31,1994-01-26,USD,5042440000.00,,,219443000.00,2989181000.00,2053259000.00,,836305000.00,211108000.00,,1868660000.00,,,,972388000.00,972388000.00,2328161000.00,530637000.00,-220131000.00,752257000.00,,752257000.00,704277000.00,642336000.00,3928809000.00,,,150387000.00,1247954000.00,,1338637000.00,739599000.00,,,,-26509000.00,,211108000.00,,,,,192097000.00,,834433000.00,,,,661020000.00,,,,,5042440000.00,1122775000.00,,642336000.00,,,,13106352000.00
1994-03-31,1994-03-31,1994-03-31,USD,5285900000.00,,,705400000.00,3176800000.00,2109100000.00,,919300000.00,261000000.00,,1871900000.00,,,,1086600000.00,1087000000.00,2172100000.00,,-291000000.00,490700000.00,,795600000.00,718200000.00,676700000.00,4440800000.00,,,19000000.00,1343200000.00,,1286600000.00,762100000.00,,,,-742000000.00,,261000000.00,,,,,-512600000.00,,864100000.00,,,,1004700000.00,,,,,5285900000.00,1086600000.00,,676700000.00,,,,13321728000.00
1994-06-30,1994-06-30,1994-08-12,USD,5123412000.00,,,300607000.00,2878297000.00,2245115000.00,,705847000.00,264753000.00,,1995836000.00,,,,1141695000.00,1142000000.00,1917487000.00,360544000.00,-321272000.00,515608000.00,,820423000.00,745000000.00,664982000.00,4003044000.00,,,86599000.00,1277083000.00,,1197060000.00,696032000.00,,,,-15474000.00,,265000000.00,,,,,-457559000.00,,863423000.00,,,,960810000.00,,,,,5123412000.00,1228294000.00,,664982000.00,,,,13312320000.00
1994-09-30,1994-09-30,1994-12-13,USD,5302746000.00,,,255767000.00,2919445000.00,2383301000.00,,770388000.00,297929000.00,,2096206000.00,,,,1203488000.00,1203488000.00,1944305000.00,315000000.00,-606816000.00,292200000.00,,596672000.00,774254000.00,667100000.00,4183404000.00,,,54368000.00,1581347000.00,,1088434000.00,881717000.00,,,,-10834000.00,,297929000.00,,,,,159194000.00,,826294000.00,,,,975140000.00,,,,,5302746000.00,1257856000.00,,667100000.00,,,,13625472000.00
1994-12-31,1994-12-31,1995-02-09,USD,5533000000.00,,,179000000.00,2971000000.00,2562000000.00,,770000000.00,309000000.00,,2270000000.00,,,,1148000000.00,1148000000.00,1935000000.00,436000000.00,-635000000.00,209000000.00,,513000000.00,784000000.00,661000000.00,4449000000.00,,,439000000.00,1599000000.00,,1084000000.00,956000000.00,,,,-17000000.00,,309000000.00,,,,,-578000000.00,,815000000.00,,,,1036000000.00,,,,,5533000000.00,1587000000.00,,661000000.00,,,,13619200000.00
1995-03-31,1995-03-31,1995-05-15,USD,6050000000.00,,,208000000.00,3336000000.00,2714000000.00,,762000000.00,339000000.00,,2331000000.00,,,,1375000000.00,1375000000.00,2243000000.00,346000000.00,-444000000.00,627000000.00,,931000000.00,835000000.00,663000000.00,4811000000.00,,,611000000.00,1633000000.00,,984000000.00,854000000.00,,,,44000000.00,,339000000.00,,,,,226000000.00,,889000000.00,,,,1093000000.00,,,,,6050000000.00,1986000000.00,,663000000.00,,,,13736128000.00
