date,date,filing_date,currency_symbol,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,commonStock,capitalStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,cashAndEquivalents,totalCurrentLiabilities,currentDeferredRevenue,netDebt,shortTermDebt,shortLongTermDebt,shortLongTermDebtTotal,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,noncontrollingInterestInConsolidatedEntity,temporaryEquityRedeemableNoncontrollingInterests,accumulatedOtherComprehensiveIncome,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,nonCurrrentAssetsOther,deferredLongTermAssetCharges,nonCurrentAssetsTotal,capitalLeaseObligations,longTermDebtTotal,nonCurrentLiabilitiesOther,nonCurrentLiabilitiesTotal,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurpluse,liabilitiesAndStockholdersEquity,cashAndShortTermInvestments,propertyPlantAndEquipmentGross,propertyPlantAndEquipmentNet,accumulatedDepreciation,netWorkingCapital,netInvestedCapital,commonStockSharesOutstanding
1985-09-30,1985-09-30,1985-09-30,USD,936200000.00,,,97900000.00,385700000.00,550500000.00,,295400000.00,,,320300000.00,,,,337000000.00,337000000.00,295400000.00,,-337000000.00,,,,315400000.00,90400000.00,822100000.00,,,,220200000.00,,167000000.00,,,,,-85200000.00,,,,,,,23700000.00,,114100000.00,,,,90300000.00,,,,,936200000.00,337000000.00,,90400000.00,,,,13708800000.00
1986-09-30,1986-09-30,1986-09-30,USD,1160100000.00,,,92900000.00,466000000.00,694100000.00,,328500000.00,,,474300000.00,,,,576200000.00,576200000.00,328500000.00,,-576200000.00,,,,334500000.00,107300000.00,1040900000.00,,,,263100000.00,,108700000.00,,,,,-114700000.00,,,,,,,11900000.00,,119200000.00,,,,137500000.00,,,,,1160100000.00,576200000.00,,107300000.00,,,,14373333333.00
1987-09-30,1987-09-30,1987-09-30,USD,1477900000.00,,,110900000.00,641400000.00,836500000.00,,478700000.00,,,573100000.00,,,,565100000.00,565100000.00,478700000.00,,-565100000.00,,,,422100000.00,130400000.00,1307400000.00,,,,405600000.00,,225800000.00,,,,,-158700000.00,,,,,,,40100000.00,,170500000.00,,,,162700000.00,,,,,1477900000.00,565100000.00,,130400000.00,,,,14674698795.00
1988-09-30,1988-09-30,1988-09-30,USD,2082100000.00,,,137000000.00,1078700000.00,1003400000.00,,699200000.00,,,776500000.00,,,,545700000.00,545700000.00,827100000.00,,-417800000.00,127900000.00,,127900000.00,439900000.00,207400000.00,1783000000.00,,,,638800000.00,,461500000.00,,,,,-213000000.00,,,,,,,91700000.00,,299100000.00,,,,251600000.00,,,,,2082100000.00,545700000.00,,207400000.00,,,,14556363636.00
1989-09-30,1989-09-30,1989-09-30,USD,2743900000.00,,,587900000.00,1258200000.00,1485700000.00,,504300000.00,,,1175900000.00,,,,438300000.00,438300000.00,895300000.00,,-381500000.00,56800000.00,,56800000.00,618900000.00,334200000.00,2294400000.00,,,,792800000.00,,475400000.00,334200000.00,,,,-309100000.00,,,,,,,115300000.00,,449500000.00,,,,362900000.00,,,,,2743900000.00,438300000.00,,334200000.00,,,,14363841808.00
1990-09-30,1990-09-30,1990-09-30,USD,2975700000.00,,,911200000.00,1528900000.00,1446800000.00,,563800000.00,,,1312200000.00,,,,374700000.00,374700000.00,1027000000.00,,-252100000.00,122600000.00,,122600000.00,581300000.00,398200000.00,2403300000.00,,,,761900000.00,,355500000.00,340600000.00,,,,-446700000.00,,,,,,,174200000.00,,572400000.00,,,,501900000.00,,,,,2975700000.00,374700000.00,,398200000.00,,,,14071111111.00
1991-09-30,1991-09-30,1991-09-30,USD,3493600000.00,,,680600000.00,1726900000.00,1766700000.00,,711400000.00,,,1492000000.00,,,,604100000.00,604100000.00,1217100000.00,,-455500000.00,148600000.00,,148600000.00,862700000.00,448000000.00,2863600000.00,,,,907200000.00,,671700000.00,357100000.00,,,,-588000000.00,,,,,,,182000000.00,,630000000.00,,,,509800000.00,,,,,3493600000.00,604100000.00,,448000000.00,,,,13448682171.00
1992-09-30,1992-09-30,1992-09-30,USD,4223700000.00,,,1392500000.00,2036300000.00,2187400000.00,,814100000.00,,,1904500000.00,,,,498600000.00,498600000.00,1425500000.00,,-314100000.00,184500000.00,,184500000.00,956300000.00,462200000.00,3558400000.00,,,,1087200000.00,,580100000.00,426900000.00,,,,-673400000.00,,,,,,,203100000.00,,665300000.00,,,,610800000.00,,,,,4223700000.00,498600000.00,,462200000.00,,,,13729632000.00
1993-09-30,1993-09-30,1993-09-30,USD,5171400000.00,,,773500000.00,3145000000.00,2026400000.00,,949400000.00,203613000.00,,1842600000.00,,,,676400000.00,676400000.00,2515200000.00,627258000.00,146800000.00,823200000.00,,823200000.00,936900000.00,659500000.00,4338400000.00,,,215890000.00,1381900000.00,,1506600000.00,742600000.00,,,,-753100000.00,,,,,,,173500000.00,,833000000.00,,,,629800000.00,,,,,5171400000.00,676400000.00,1412611000.00,659500000.00,753111000.00,,,13424000000.00
1994-09-30,1994-09-30,1994-12-13,USD,5302746000.00,,,255767000.00,2919445000.00,2383301000.00,,770388000.00,297929000.00,,2096206000.00,,,,1203488000.00,1203488000.00,1944305000.00,315000000.00,-606816000.00,292200000.00,,596672000.00,774254000.00,667100000.00,4476452000.00,,,54368000.00,1581347000.00,,1088434000.00,881717000.00,,,,-10834000.00,,297929000.00,,,,,159194000.00,,826294000.00,,,,975140000.00,,,,,5302746000.00,1257856000.00,1452188000.00,667100000.00,785088000.00,,,13298320000.00
1995-09-30,1995-09-30,1995-12-19,USD,6231000000.00,,,315000000.00,3330000000.00,2901000000.00,,699000000.00,398000000.00,,2464000000.00,,,,756000000.00,756000000.00,2325000000.00,422000000.00,8000000.00,461000000.00,,764000000.00,-39000000.00,711000000.00,5224000000.00,,,196000000.00,1931000000.00,,1775000000.00,1165000000.00,,,,39000000.00,,398000000.00,,,,,-406000000.00,,1007000000.00,,,,1005000000.00,,,,,6231000000.00,952000000.00,1492000000.00,711000000.00,781000000.00,,,13781264000.00
1996-09-30,1996-09-30,1996-12-19,USD,5364000000.00,,,270000000.00,3306000000.00,2058000000.00,,1026000000.00,439000000.00,,1634000000.00,,,,1552000000.00,1552000000.00,2003000000.00,675000000.00,-417000000.00,186000000.00,,1135000000.00,15000000.00,598000000.00,4515000000.00,,,193000000.00,1496000000.00,,662000000.00,791000000.00,,,,-15000000.00,,439000000.00,,,,,-103000000.00,,849000000.00,,,,1303000000.00,,,,,5364000000.00,1745000000.00,1348000000.00,598000000.00,750000000.00,,,13858208000.00
1997-09-30,1997-09-30,1997-12-05,USD,4233000000.00,,,234000000.00,3033000000.00,1200000000.00,,1108000000.00,498000000.00,,589000000.00,,,,1230000000.00,1230000000.00,1818000000.00,685000000.00,-254000000.00,25000000.00,,976000000.00,187000000.00,486000000.00,3424000000.00,,,229000000.00,1035000000.00,,437000000.00,685000000.00,,,,-37000000.00,,498000000.00,,,,,59000000.00,,809000000.00,,,,1215000000.00,,,,,4233000000.00,1459000000.00,1195000000.00,486000000.00,709000000.00,,,14118944000.00
1998-09-30,1998-09-30,1998-12-23,USD,4289000000.00,,,183000000.00,2647000000.00,1642000000.00,,801000000.00,633000000.00,,898000000.00,,,,1481000000.00,1481000000.00,1520000000.00,,-527000000.00,,,954000000.00,150000000.00,348000000.00,3698000000.00,,,819000000.00,955000000.00,,78000000.00,719000000.00,,,,-39000000.00,,633000000.00,,,,,70000000.00,,591000000.00,,,,1127000000.00,,,,,4289000000.00,2300000000.00,824000000.00,348000000.00,476000000.00,,,18806704000.00
1999-09-30,1999-09-30,1999-12-22,USD,5161000000.00,,,215000000.00,2057000000.00,3104000000.00,,737000000.00,1349000000.00,,1499000000.00,,,,1326000000.00,1326000000.00,1549000000.00,,-1026000000.00,,,300000000.00,150000000.00,318000000.00,4285000000.00,,,1900000000.00,681000000.00,,20000000.00,812000000.00,,,,106000000.00,,1349000000.00,,,,,11000000.00,,876000000.00,,,,508000000.00,,,,,5161000000.00,3226000000.00,729000000.00,318000000.00,411000000.00,,,19506368000.00
2000-09-30,2000-09-30,2000-12-14,USD,6803000000.00,,,252000000.00,2696000000.00,4107000000.00,,776000000.00,1502000000.00,,2285000000.00,,,1063000000.00,1191000000.00,1191000000.00,1933000000.00,105000000.00,-891000000.00,433000000.00,,300000000.00,707000000.00,313000000.00,5427000000.00,,,2836000000.00,953000000.00,300000000.00,33000000.00,1157000000.00,,,,244000000.00,,1502000000.00,76000000.00,,,,277000000.00,,1376000000.00,,,,763000000.00,,,,,6803000000.00,4027000000.00,700000000.00,313000000.00,387000000.00,,,20178144000.00
2001-09-30,2001-09-30,2001-12-21,USD,6021000000.00,10000000.00,,161000000.00,2101000000.00,3920000000.00,,533000000.00,1693000000.00,,2260000000.00,,66000000.00,314000000.00,2310000000.00,2310000000.00,1518000000.00,184000000.00,-1993000000.00,306000000.00,,317000000.00,-11000000.00,564000000.00,5143000000.00,,,2026000000.00,466000000.00,317000000.00,11000000.00,801000000.00,,,,-22000000.00,,1693000000.00,,,,,-156000000.00,,878000000.00,,,,583000000.00,,,,,6021000000.00,4336000000.00,960000000.00,564000000.00,396000000.00,,,19354328000.00
2002-09-30,2002-09-30,2002-12-19,USD,6298000000.00,34000000.00,,275000000.00,2203000000.00,4095000000.00,,494000000.00,1826000000.00,,2325000000.00,,85000000.00,170000000.00,2252000000.00,2252000000.00,1658000000.00,253000000.00,-1936000000.00,298000000.00,,316000000.00,-7000000.00,621000000.00,5388000000.00,,,2085000000.00,565000000.00,316000000.00,45000000.00,911000000.00,,,,-49000000.00,,1826000000.00,,,,,-98000000.00,,910000000.00,,,,545000000.00,,,,,6298000000.00,4337000000.00,1057000000.00,621000000.00,436000000.00,,,20259960000.00
2003-09-30,2003-09-30,2003-12-19,USD,6815000000.00,24000000.00,,125000000.00,2592000000.00,4223000000.00,,531000000.00,1926000000.00,,2394000000.00,235000000.00,85000000.00,145000000.00,3396000000.00,3396000000.00,2357000000.00,368000000.00,-3092000000.00,304000000.00,,304000000.00,-62000000.00,669000000.00,5887000000.00,,,1170000000.00,950000000.00,,56000000.00,1154000000.00,,,,-35000000.00,,1926000000.00,,,,,85000000.00,,928000000.00,,,,235000000.00,,,,,6815000000.00,4566000000.00,1174000000.00,669000000.00,505000000.00,,,20354096000.00
