date,date,filing_date,currency_symbol,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow
1989-12-31,1989-12-31,1989-12-31,USD,,,,,-76700000.00,,124800000.00,-27800000.00,438300000.00,410500000.00,261100000.00,,47800000.00,-22600000.00,14000000.00,48800000.00,43800000.00,-98900000.00,100000.00,,62900000.00,,,,-27800000.00,54100000.00,,500000.00,198200000.00
1990-03-31,1990-03-31,1990-03-31,USD,,,,,-152200000.00,,131900000.00,235400000.00,410500000.00,235400000.00,303300000.00,,44200000.00,-20200000.00,13500000.00,114100000.00,90300000.00,-114400000.00,-100000.00,,42800000.00,,,,235400000.00,73400000.00,,100000.00,260500000.00
1990-06-30,1990-06-30,1990-06-30,USD,,,,,-161100000.00,,119700000.00,19100000.00,235400000.00,19100000.00,301800000.00,,49900000.00,-42000000.00,13400000.00,20600000.00,-46800000.00,-173100000.00,-121600000.00,,50800000.00,,,,19100000.00,86300000.00,,600000.00,251000000.00
1990-09-30,1990-09-30,1990-09-30,USD,,,,,-64000000.00,,98500000.00,-290300000.00,19100000.00,-290300000.00,97700000.00,,60800000.00,-12700000.00,12900000.00,-63600000.00,-56300000.00,-183200000.00,-324000000.00,,67800000.00,,,,-290300000.00,-68500000.00,,900000.00,29900000.00
1990-12-31,1990-12-31,1990-12-31,USD,,,,,-154000000.00,,150500000.00,364600000.00,374700000.00,739300000.00,226900000.00,,47100000.00,-12100000.00,13900000.00,-53000000.00,-91600000.00,-61900000.00,291700000.00,,74200000.00,,,,364600000.00,-9200000.00,,400000.00,152700000.00
1991-03-31,1991-03-31,1991-03-31,USD,,,,,132100000.00,,131200000.00,135100000.00,739300000.00,135100000.00,-18100000.00,,45900000.00,-17300000.00,14100000.00,-212500000.00,62500000.00,-5600000.00,21100000.00,,39000000.00,,,,135100000.00,-270500000.00,,3600000.00,-57100000.00
1991-06-30,1991-06-30,1991-06-30,USD,,,,,58800000.00,,-53100000.00,-100600000.00,135100000.00,-100600000.00,-135500000.00,,53500000.00,-21400000.00,14400000.00,-112400000.00,23900000.00,-107600000.00,-23900000.00,,53500000.00,,,,-100600000.00,-26600000.00,,,-189000000.00
1991-09-30,1991-09-30,1991-09-30,USD,,,,,5600000.00,,81200000.00,-169600000.00,-100600000.00,-169600000.00,55400000.00,,57900000.00,-6400000.00,14100000.00,61700000.00,-140100000.00,-9600000.00,100000.00,,51600000.00,,,,-169600000.00,-94400000.00,,3200000.00,3800000.00
1991-12-31,1991-12-31,1991-12-31,USD,,,,,-118700000.00,,166000000.00,-74000000.00,604100000.00,530100000.00,305700000.00,,49800000.00,-39600000.00,14200000.00,28300000.00,-66300000.00,-20300000.00,-100000.00,,51600000.00,,,,-74000000.00,44400000.00,,3400000.00,254100000.00
1992-03-31,1992-03-31,1992-03-31,USD,,,,,95900000.00,,135100000.00,236800000.00,530100000.00,236800000.00,321300000.00,,50200000.00,-27800000.00,14500000.00,100800000.00,100100000.00,-51700000.00,200000.00,,42000000.00,,,,236800000.00,82900000.00,,2100000.00,279300000.00
1992-06-30,1992-06-30,1992-06-30,USD,,,,,-31100000.00,,131700000.00,-35700000.00,236800000.00,-35700000.00,235600000.00,,57200000.00,-7500000.00,14300000.00,6800000.00,-83300000.00,-103200000.00,-100000.00,,57400000.00,,,,-35700000.00,5000000.00,,2600000.00,178200000.00
1992-09-30,1992-09-30,1992-09-30,USD,,,,,-22800000.00,,97600000.00,-232700000.00,-35700000.00,-232700000.00,21100000.00,,60000000.00,5500000.00,14200000.00,-44300000.00,-130500000.00,-37400000.00,-231000000.00,,43900000.00,,,,-232700000.00,-111600000.00,,6400000.00,-22800000.00
1992-12-31,1992-12-31,1992-12-31,USD,,,,,-57613000.00,,161341000.00,85900000.00,498600000.00,584500000.00,78807000.00,,39401000.00,33461000.00,14246000.00,-16516000.00,-111553000.00,-65775000.00,64691000.00,,44300000.00,,,,85900000.00,-122961000.00,,-62174000.00,34507000.00
1993-03-31,1993-03-31,1993-03-31,USD,,,,,-239087000.00,,110859000.00,-608242000.00,584442000.00,-23800000.00,-52807000.00,,42799000.00,-26061000.00,13454000.00,-280184000.00,-87047000.00,-133825000.00,-100000.00,,48500000.00,,,,-23800000.00,-310639000.00,,63774000.00,-101307000.00
1993-06-30,1993-06-30,1993-06-30,USD,,,,,162929000.00,,-188275000.00,-177771000.00,10271000.00,-167500000.00,-277739000.00,,41436000.00,-35172000.00,13956000.00,-361861000.00,20426000.00,-73858000.00,100000.00,,72600000.00,,,,-167500000.00,-31943000.00,,-34857000.00,-350339000.00
1993-09-30,1993-09-30,1993-09-30,USD,,,,,470400000.00,,2700000.00,283300000.00,-167500000.00,283300000.00,-399800000.00,,42500000.00,12600000.00,13900000.00,-267900000.00,-116600000.00,,-48100000.00,,47700000.00,,,,283300000.00,-431400000.00,,6900000.00,-447500000.00
1993-12-31,1993-12-31,1994-01-26,USD,,,,,-82000000.00,,40000000.00,295975000.00,676413000.00,972388000.00,370000000.00,,43000000.00,-34000000.00,14000000.00,168000000.00,134000000.00,5000000.00,8000000.00,,23564000.00,,,,295975000.00,280000000.00,,-24200000.00,346436000.00
1994-03-31,1994-03-31,1994-03-31,USD,,,,,68000000.00,,17000000.00,114612000.00,972388000.00,1087000000.00,-17000000.00,,38000000.00,9000000.00,14000000.00,52000000.00,-95000000.00,43000000.00,64000000.00,,75436000.00,,,,114612000.00,-75000000.00,,-35800000.00,-92436000.00
1994-06-30,1994-06-30,1994-08-12,USD,,,,,14000000.00,,139000000.00,54695000.00,1087000000.00,1141695000.00,142000000.00,,41000000.00,-10000000.00,14000000.00,90000000.00,66000000.00,4000000.00,-101000000.00,,24375000.00,,,,54695000.00,-39000000.00,,44800000.00,117625000.00
1994-09-30,1994-09-30,1994-12-13,USD,,,,,-207964000.00,,114655000.00,61793000.00,1141695000.00,1203488000.00,242038000.00,,45620000.00,31700000.00,14285000.00,108626000.00,-304264000.00,30000000.00,27719000.00,,36212000.00,,,,61793000.00,81102000.00,,-13939000.00,205826000.00
1994-12-31,1994-12-31,1995-02-09,USD,,,,,-89000000.00,,188000000.00,-55000000.00,1203000000.00,1148000000.00,453000000.00,,38000000.00,-12000000.00,14000000.00,4000000.00,-18000000.00,9000000.00,-419000000.00,,22000000.00,,,,-55000000.00,222000000.00,,-56000000.00,431000000.00
1995-03-31,1995-03-31,1995-05-15,USD,,,,,432000000.00,,73000000.00,227000000.00,1148000000.00,1375000000.00,6000000.00,,29000000.00,-11000000.00,15000000.00,100000000.00,-34000000.00,29000000.00,-211000000.00,,30000000.00,,,,227000000.00,-91000000.00,,-62000000.00,-24000000.00
1995-06-30,1995-06-30,1995-08-11,USD,,,,,-225000000.00,,103000000.00,-207000000.00,1375000000.00,1168000000.00,-26000000.00,,37000000.00,,14000000.00,-383000000.00,80000000.00,13000000.00,44000000.00,,58000000.00,,,,-207000000.00,-167000000.00,,-13000000.00,-84000000.00
1995-09-30,1995-09-30,1995-12-19,USD,,,,,77000000.00,,60000000.00,-412000000.00,1168000000.00,756000000.00,-673000000.00,,23000000.00,-79000000.00,15000000.00,-408000000.00,-378000000.00,35000000.00,184000000.00,,49000000.00,,,,-412000000.00,-761000000.00,,64000000.00,-722000000.00
1995-12-31,1995-12-31,1996-02-12,USD,,,,,28000000.00,,-69000000.00,68000000.00,756000000.00,824000000.00,187000000.00,,42000000.00,-36000000.00,15000000.00,-172000000.00,-13000000.00,5000000.00,-147000000.00,,31000000.00,,,,68000000.00,213000000.00,,4000000.00,156000000.00
1996-03-31,1996-03-31,1996-05-13,USD,,,,,-129000000.00,,-740000000.00,-324000000.00,824000000.00,500000000.00,-364000000.00,,46000000.00,-6000000.00,1000000.00,481000000.00,578000000.00,17000000.00,-147000000.00,,9000000.00,,,,-324000000.00,331000000.00,,324000000.00,-373000000.00
1996-06-30,1996-06-30,1996-08-12,USD,,,,,484000000.00,,-32000000.00,859000000.00,500000000.00,1359000000.00,287000000.00,,22000000.00,9000000.00,,405000000.00,74000000.00,3000000.00,88000000.00,,15000000.00,,,,859000000.00,256000000.00,,115000000.00,272000000.00
1996-09-30,1996-09-30,1996-12-19,USD,,,,,13000000.00,,25000000.00,193000000.00,1359000000.00,1552000000.00,407000000.00,,46000000.00,-22000000.00,,399000000.00,-204000000.00,14000000.00,-227000000.00,,12000000.00,,,,193000000.00,309000000.00,,64000000.00,395000000.00
1996-12-31,1996-12-31,1997-02-10,USD,,,,,-2000000.00,,-120000000.00,-378000000.00,1552000000.00,1174000000.00,92000000.00,,25000000.00,-10000000.00,,174000000.00,4000000.00,3000000.00,-468000000.00,,20000000.00,,,,-378000000.00,187000000.00,,2000000.00,72000000.00
1997-03-31,1997-03-31,1997-05-12,USD,,,,,-42000000.00,,-708000000.00,99000000.00,1174000000.00,1273000000.00,109000000.00,,30000000.00,-15000000.00,,-21000000.00,352000000.00,5000000.00,32000000.00,,16000000.00,,,,99000000.00,426000000.00,,361000000.00,93000000.00
1997-06-30,1997-06-30,1997-08-11,USD,,,,,-3000000.00,,-56000000.00,-255000000.00,1273000000.00,1018000000.00,-206000000.00,,22000000.00,-24000000.00,,-25000000.00,-59000000.00,4000000.00,-46000000.00,,6000000.00,,,,-255000000.00,-163000000.00,,10000000.00,-212000000.00
1997-09-30,1997-09-30,1997-12-05,USD,,,,,70000000.00,,-161000000.00,212000000.00,1018000000.00,1230000000.00,198000000.00,,41000000.00,-28000000.00,,97000000.00,172000000.00,172000000.00,150000000.00,,11000000.00,,,,212000000.00,288000000.00,,2000000.00,187000000.00
1997-12-31,1997-12-31,1998-02-09,USD,,,,,1000000.00,,47000000.00,-37000000.00,1230000000.00,1193000000.00,132000000.00,,28000000.00,-14000000.00,,33000000.00,133000000.00,1000000.00,-170000000.00,,7000000.00,,,,-37000000.00,54000000.00,,-23000000.00,125000000.00
1998-03-31,1998-03-31,1998-05-11,USD,,,,,11000000.00,,55000000.00,92000000.00,1193000000.00,1285000000.00,155000000.00,,28000000.00,37000000.00,,147000000.00,87000000.00,11000000.00,-74000000.00,,5000000.00,,,,92000000.00,74000000.00,,23000000.00,150000000.00
1998-06-30,1998-06-30,1998-08-10,USD,,,,,-21000000.00,,101000000.00,-82000000.00,1285000000.00,1203000000.00,206000000.00,,32000000.00,-46000000.00,,128000000.00,-108000000.00,2000000.00,-267000000.00,,27000000.00,,,,-82000000.00,101000000.00,,-33000000.00,179000000.00
1998-09-30,1998-09-30,1998-12-23,USD,,,,,28000000.00,,106000000.00,278000000.00,1203000000.00,1481000000.00,323000000.00,,23000000.00,-37000000.00,,51000000.00,-40000000.00,27000000.00,-73000000.00,,17000000.00,,,,278000000.00,199000000.00,,-107000000.00,306000000.00
1998-12-31,1998-12-31,1999-02-08,USD,,,,,3000000.00,,152000000.00,-260000000.00,1481000000.00,1221000000.00,223000000.00,,23000000.00,20000000.00,,53000000.00,42000000.00,3000000.00,-486000000.00,,5000000.00,,,,-260000000.00,71000000.00,,-33000000.00,218000000.00
1999-03-31,1999-03-31,1999-05-11,USD,,,,,33000000.00,,135000000.00,137000000.00,1221000000.00,1358000000.00,269000000.00,,24000000.00,-18000000.00,,7000000.00,109000000.00,32000000.00,-165000000.00,,19000000.00,,,,137000000.00,168000000.00,,-54000000.00,250000000.00
1999-06-30,1999-06-30,1999-08-06,USD,,,,,5000000.00,,203000000.00,415000000.00,1358000000.00,1773000000.00,88000000.00,,19000000.00,-8000000.00,,11000000.00,-92000000.00,6000000.00,322000000.00,,7000000.00,,,,415000000.00,-42000000.00,,-101000000.00,81000000.00
1999-09-30,1999-09-30,1999-12-22,USD,,,,,-30000000.00,,111000000.00,-447000000.00,1773000000.00,1326000000.00,218000000.00,,19000000.00,14000000.00,,-13000000.00,215000000.00,-30000000.00,-635000000.00,,16000000.00,,,,-447000000.00,180000000.00,,-42000000.00,202000000.00
1999-12-31,1999-12-31,2000-02-01,USD,,,,,-24000000.00,,183000000.00,260000000.00,1326000000.00,1586000000.00,373000000.00,,20000000.00,-13000000.00,,5000000.00,-211000000.00,-41000000.00,-89000000.00,,38000000.00,,,,260000000.00,237000000.00,,-131000000.00,335000000.00
2000-03-31,2000-03-31,2000-05-11,USD,,299000000.00,,,30000000.00,,233000000.00,76000000.00,1586000000.00,1662000000.00,61000000.00,,21000000.00,-10000000.00,,5000000.00,-48000000.00,30000000.00,-15000000.00,,27000000.00,,,,76000000.00,-132000000.00,,-102000000.00,34000000.00
2000-06-30,2000-06-30,2000-07-31,USD,,228000000.00,,,-47000000.00,,200000000.00,-318000000.00,1662000000.00,1344000000.00,234000000.00,,25000000.00,5000000.00,,5000000.00,-27000000.00,-50000000.00,-505000000.00,,11000000.00,,,,-318000000.00,13000000.00,,-51000000.00,223000000.00
2000-09-30,2000-09-30,2000-12-14,USD,,318000000.00,,,10000000.00,,170000000.00,-153000000.00,1344000000.00,1191000000.00,158000000.00,,18000000.00,-20000000.00,,-28000000.00,14000000.00,-25000000.00,-321000000.00,,31000000.00,,,,-153000000.00,39000000.00,,-80000000.00,127000000.00
2000-12-31,2000-12-31,2001-02-12,USD,,,556000000.00,,3000000.00,,-207000000.00,546000000.00,1191000000.00,1737000000.00,-13000000.00,,24000000.00,-3000000.00,,12000000.00,512000000.00,3000000.00,556000000.00,,22000000.00,,,,546000000.00,320000000.00,,-58000000.00,-35000000.00
2001-03-31,2001-03-31,2001-05-14,USD,,,986000000.00,,15000000.00,,43000000.00,401000000.00,1737000000.00,2138000000.00,-44000000.00,,22000000.00,-4000000.00,,11000000.00,-196000000.00,15000000.00,430000000.00,,17000000.00,,,,401000000.00,-120000000.00,,-4000000.00,-61000000.00
2001-06-30,2001-06-30,2001-08-13,USD,,,996000000.00,,6000000.00,,61000000.00,-17000000.00,2138000000.00,2121000000.00,-33000000.00,,26000000.00,,,-9000000.00,39000000.00,6000000.00,10000000.00,,30000000.00,,,,-17000000.00,-146000000.00,,3000000.00,-63000000.00
2001-09-30,2001-09-30,2001-12-21,USD,,,892000000.00,,18000000.00,,66000000.00,189000000.00,2121000000.00,2310000000.00,275000000.00,,30000000.00,-29000000.00,,8000000.00,132000000.00,18000000.00,-104000000.00,,163000000.00,,,,189000000.00,157000000.00,,4000000.00,112000000.00
2001-12-31,2001-12-31,2002-02-11,USD,,29000000.00,,,11000000.00,,38000000.00,-364000000.00,2310000000.00,1946000000.00,42000000.00,,28000000.00,10000000.00,,-12000000.00,-32000000.00,11000000.00,-417000000.00,,36000000.00,,,,-364000000.00,6000000.00,,-20000000.00,6000000.00
2002-03-31,2002-03-31,2002-05-14,USD,,186000000.00,,,36000000.00,,40000000.00,-787000000.00,1946000000.00,1159000000.00,2000000.00,,29000000.00,-42000000.00,,-3000000.00,-146000000.00,36000000.00,-825000000.00,,43000000.00,,,,-787000000.00,-109000000.00,,2000000.00,-41000000.00
2002-06-30,2002-06-30,2002-08-09,USD,,103000000.00,,,42000000.00,,32000000.00,87000000.00,1159000000.00,1246000000.00,-37000000.00,,28000000.00,-1000000.00,,-8000000.00,18000000.00,42000000.00,82000000.00,,31000000.00,,,,87000000.00,-65000000.00,,-3000000.00,-68000000.00
2002-09-30,2002-09-30,2002-12-19,USD,,110000000.00,,,16000000.00,,-45000000.00,1006000000.00,1246000000.00,2252000000.00,82000000.00,,33000000.00,26000000.00,,-11000000.00,61000000.00,16000000.00,908000000.00,,64000000.00,,,,1006000000.00,61000000.00,,65000000.00,18000000.00
2002-12-31,2002-12-31,2003-02-10,USD,,,237000000.00,,13000000.00,,-6000000.00,360000000.00,2252000000.00,2612000000.00,110000000.00,,31000000.00,9000000.00,,1000000.00,68000000.00,13000000.00,237000000.00,,20000000.00,,,,360000000.00,76000000.00,1000000.00,6000000.00,90000000.00
2003-03-31,2003-03-31,2003-05-13,USD,,10000000.00,934000000.00,,3000000.00,,14000000.00,798000000.00,2612000000.00,3410000000.00,98000000.00,,29000000.00,6000000.00,,3000000.00,5000000.00,3000000.00,697000000.00,,40000000.00,,,,798000000.00,78000000.00,1000000.00,-10000000.00,58000000.00
2003-06-30,2003-06-30,2003-08-12,USD,,,1008000000.00,,15000000.00,,19000000.00,97000000.00,3410000000.00,3507000000.00,8000000.00,,24000000.00,18000000.00,,3000000.00,-76000000.00,15000000.00,74000000.00,,46000000.00,,,,97000000.00,-33000000.00,7000000.00,-5000000.00,-38000000.00
2003-09-30,2003-09-30,2003-12-19,USD,,243000000.00,828000000.00,,-4000000.00,,41000000.00,-111000000.00,3507000000.00,3396000000.00,73000000.00,,20000000.00,33000000.00,,-18000000.00,-198000000.00,-4000000.00,-180000000.00,,58000000.00,,,,-111000000.00,5000000.00,,2000000.00,15000000.00
2003-12-31,2003-12-31,2004-02-10,USD,,,77000000.00,,32000000.00,,63000000.00,328000000.00,3396000000.00,3724000000.00,219000000.00,,33000000.00,13000000.00,,-33000000.00,180000000.00,32000000.00,77000000.00,,44000000.00,,,,328000000.00,114000000.00,7000000.00,-4000000.00,175000000.00
2004-03-31,2004-03-31,2004-05-06,USD,,,,,-224000000.00,,46000000.00,-566000000.00,3724000000.00,3158000000.00,61000000.00,,36000000.00,-1000000.00,,26000000.00,1000000.00,76000000.00,-300000000.00,,35000000.00,,,,-566000000.00,-29000000.00,6000000.00,6000000.00,26000000.00
