date,date,filing_date,currency_symbol,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,netIncome,changeInCash,beginPeriodCashFlow,endPeriodCashFlow,totalCashFromOperatingActivities,issuanceOfCapitalStock,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,salePurchaseOfStock,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeReceivables,cashFlowsOtherOperating,exchangeRateChanges,cashAndCashEquivalentsChanges,changeInWorkingCapital,stockBasedCompensation,otherNonCashItems,freeCashFlow
1989-09-30,1989-09-30,1989-09-30,USD,,,,,-38300000.00,,454000000.00,65900000.00,372400000.00,438300000.00,507300000.00,,124800000.00,33200000.00,50300000.00,-13900000.00,-154000000.00,-12900000.00,-71100000.00,,239000000.00,,,,65900000.00,-109000000.00,,-73800000.00,268300000.00
1990-09-30,1990-09-30,1990-09-30,USD,,,,,-454000000.00,,474900000.00,-63600000.00,438300000.00,374700000.00,963900000.00,,202700000.00,-97500000.00,53800000.00,119900000.00,31000000.00,-569600000.00,65900000.00,,224300000.00,,,,-63600000.00,145300000.00,,2100000.00,739600000.00
1991-09-30,1991-09-30,1991-09-30,USD,,,,,42500000.00,,309800000.00,229500000.00,374700000.00,604200000.00,128700000.00,,204400000.00,-57200000.00,56500000.00,-316200000.00,-145300000.00,-184700000.00,26000000.00,,218300000.00,,,,229500000.00,-400700000.00,,7200000.00,-89600000.00
1992-09-30,1992-09-30,1992-09-30,USD,,,,,-76700000.00,,530400000.00,-105600000.00,604100000.00,498500000.00,883700000.00,,217200000.00,-69410000.00,57200000.00,91600000.00,-180026000.00,-212600000.00,35900000.00,,194853000.00,,,,-105600000.00,20700000.00,,14500000.00,688800000.00
1993-09-30,1993-09-30,1993-09-30,USD,,,,,346900000.00,,86600000.00,177900000.00,498600000.00,676500000.00,-661800000.00,,166100000.00,-15000000.00,55600000.00,-926500000.00,-295000000.00,-273500000.00,590700000.00,,213118000.00,,,,177900000.00,-946700000.00,,13200000.00,-874900000.00
1994-09-30,1994-09-30,1994-12-13,USD,,,,,-208118000.00,,310178000.00,527075000.00,676413000.00,1203488000.00,736995000.00,,167958000.00,-4000000.00,56572000.00,418204000.00,-199401000.00,82000000.00,-233627000.00,,159587000.00,,,,527075000.00,247729000.00,,-29670000.00,577408000.00
1995-09-30,1995-09-30,1995-12-19,USD,,,,,195000000.00,,424000000.00,-447000000.00,1203000000.00,756000000.00,-240000000.00,,127000000.00,-102000000.00,58000000.00,-687000000.00,-350000000.00,86000000.00,169000000.00,,159000000.00,,,,-447000000.00,-797000000.00,,-67000000.00,-399000000.00
1996-09-30,1996-09-30,1996-12-19,USD,,,,,396000000.00,,-816000000.00,796000000.00,756000000.00,1552000000.00,519000000.00,,156000000.00,9000000.00,14000000.00,1113000000.00,435000000.00,39000000.00,646000000.00,,67000000.00,,,,796000000.00,1109000000.00,,509000000.00,452000000.00
1997-09-30,1997-09-30,1997-12-05,USD,,,,,23000000.00,,-1045000000.00,-322000000.00,1552000000.00,1230000000.00,188000000.00,,118000000.00,-73000000.00,,225000000.00,469000000.00,184000000.00,150000000.00,,53000000.00,,,,-322000000.00,670000000.00,,452000000.00,135000000.00
1998-09-30,1998-09-30,1998-12-23,USD,,,,,19000000.00,,309000000.00,251000000.00,1230000000.00,1481000000.00,775000000.00,,111000000.00,-20000000.00,,359000000.00,72000000.00,41000000.00,3000000.00,,56000000.00,,,,251000000.00,387000000.00,,-33000000.00,719000000.00
