date,currency_symbol,totalCashFromOperatingActivities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,freeCashFlow,netIncome,beginPeriodCashFlow,endPeriodCashFlow,changeInCash,depreciation,changeInWorkingCapital,capitalExpenditures,dividendsPaid
1989-09-30,USD,507300000.0,,-38300000.0,268300000.0,454000000.0,372400000.0,438300000.0,65900000.0,124800000.0,-109000000.0,239000000.0,50300000.0
1990-09-30,USD,963900000.0,,-454000000.0,739600000.0,474900000.0,438300000.0,374700000.0,-63600000.0,202700000.0,145300000.0,224300000.0,53800000.0
1991-09-30,USD,128700000.0,,42500000.0,-89600000.0,309800000.0,374700000.0,604200000.0,229500000.0,204400000.0,-400700000.0,218300000.0,56500000.0
1992-09-30,USD,883700000.0,,-76700000.0,688800000.0,530400000.0,604100000.0,498500000.0,-105600000.0,217200000.0,20700000.0,194853000.0,57200000.0
1993-09-30,USD,-661800000.0,,346900000.0,-874900000.0,86600000.0,498600000.0,676500000.0,177900000.0,166100000.0,-946700000.0,213118000.0,55600000.0
1994-09-30,USD,736995000.0,,-208118000.0,577408000.0,310178000.0,676413000.0,1203488000.0,527075000.0,167958000.0,247729000.0,159587000.0,56572000.0
1995-09-30,USD,-240000000.0,,195000000.0,-399000000.0,424000000.0,1203000000.0,756000000.0,-447000000.0,127000000.0,-797000000.0,159000000.0,58000000.0
1996-09-30,USD,519000000.0,,396000000.0,452000000.0,-816000000.0,756000000.0,1552000000.0,796000000.0,156000000.0,1109000000.0,67000000.0,14000000.0
1997-09-30,USD,188000000.0,,23000000.0,135000000.0,-1045000000.0,1552000000.0,1230000000.0,-322000000.0,118000000.0,670000000.0,53000000.0,
1998-09-30,USD,775000000.0,,19000000.0,719000000.0,309000000.0,1230000000.0,1481000000.0,251000000.0,111000000.0,387000000.0,56000000.0,
1999-09-30,USD,798000000.0,,11000000.0,751000000.0,601000000.0,1481000000.0,1326000000.0,-155000000.0,85000000.0,377000000.0,47000000.0,
2000-09-30,USD,826000000.0,,-31000000.0,719000000.0,786000000.0,1326000000.0,1191000000.0,-135000000.0,84000000.0,157000000.0,107000000.0,
2001-09-30,USD,185000000.0,892000000.0,42000000.0,-47000000.0,-37000000.0,1191000000.0,2310000000.0,1119000000.0,102000000.0,211000000.0,232000000.0,
2002-09-30,USD,89000000.0,,105000000.0,-85000000.0,65000000.0,2310000000.0,2252000000.0,-58000000.0,118000000.0,-103000000.0,174000000.0,
2003-09-30,USD,289000000.0,828000000.0,27000000.0,125000000.0,68000000.0,2252000000.0,3396000000.0,1144000000.0,113000000.0,126000000.0,164000000.0,
2004-09-30,USD,934000000.0,,127000000.0,758000000.0,276000000.0,3396000000.0,2969000000.0,-427000000.0,150000000.0,448000000.0,176000000.0,
2005-09-30,USD,2535000000.0,,543000000.0,2275000000.0,1335000000.0,2969000000.0,3491000000.0,522000000.0,179000000.0,465000000.0,260000000.0,
2006-09-30,USD,2220000000.0,357000000.0,324000000.0,1563000000.0,1989000000.0,3491000000.0,6392000000.0,2901000000.0,225000000.0,-221000000.0,657000000.0,
2007-09-30,USD,5470000000.0,,739000000.0,4484000000.0,3496000000.0,6392000000.0,9352000000.0,2960000000.0,317000000.0,1325000000.0,735000000.0,
