date,currency_symbol,totalCashFromOperatingActivities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,freeCashFlow,netIncome,beginPeriodCashFlow,endPeriodCashFlow,changeInCash,depreciation,changeInWorkingCapital,capitalExpenditures,dividendsPaid
1989-12-31,USD,261100000.0,,-76700000.0,198200000.0,124800000.0,438300000.0,410500000.0,-27800000.0,47800000.0,54100000.0,62900000.0,14000000.0
1990-03-31,USD,303300000.0,,-152200000.0,260500000.0,131900000.0,410500000.0,235400000.0,235400000.0,44200000.0,73400000.0,42800000.0,13500000.0
1990-06-30,USD,301800000.0,,-161100000.0,251000000.0,119700000.0,235400000.0,19100000.0,19100000.0,49900000.0,86300000.0,50800000.0,13400000.0
1990-09-30,USD,97700000.0,,-64000000.0,29900000.0,98500000.0,19100000.0,-290300000.0,-290300000.0,60800000.0,-68500000.0,67800000.0,12900000.0
1990-12-31,USD,226900000.0,,-154000000.0,152700000.0,150500000.0,374700000.0,739300000.0,364600000.0,47100000.0,-9200000.0,74200000.0,13900000.0
1991-03-31,USD,-18100000.0,,132100000.0,-57100000.0,131200000.0,739300000.0,135100000.0,135100000.0,45900000.0,-270500000.0,39000000.0,14100000.0
1991-06-30,USD,-135500000.0,,58800000.0,-189000000.0,-53100000.0,135100000.0,-100600000.0,-100600000.0,53500000.0,-26600000.0,53500000.0,14400000.0
1991-09-30,USD,55400000.0,,5600000.0,3800000.0,81200000.0,-100600000.0,-169600000.0,-169600000.0,57900000.0,-94400000.0,51600000.0,14100000.0
1991-12-31,USD,305700000.0,,-118700000.0,254100000.0,166000000.0,604100000.0,530100000.0,-74000000.0,49800000.0,44400000.0,51600000.0,14200000.0
1992-03-31,USD,321300000.0,,95900000.0,279300000.0,135100000.0,530100000.0,236800000.0,236800000.0,50200000.0,82900000.0,42000000.0,14500000.0
1992-06-30,USD,235600000.0,,-31100000.0,178200000.0,131700000.0,236800000.0,-35700000.0,-35700000.0,57200000.0,5000000.0,57400000.0,14300000.0
1992-09-30,USD,21100000.0,,-22800000.0,-22800000.0,97600000.0,-35700000.0,-232700000.0,-232700000.0,60000000.0,-111600000.0,43900000.0,14200000.0
1992-12-31,USD,78807000.0,,-57613000.0,34507000.0,161341000.0,498600000.0,584500000.0,85900000.0,39401000.0,-122961000.0,44300000.0,14246000.0
1993-03-31,USD,-52807000.0,,-239087000.0,-101307000.0,110859000.0,584442000.0,-23800000.0,-608242000.0,42799000.0,-310639000.0,48500000.0,13454000.0
1993-06-30,USD,-277739000.0,,162929000.0,-350339000.0,-188275000.0,10271000.0,-167500000.0,-177771000.0,41436000.0,-31943000.0,72600000.0,13956000.0
1993-09-30,USD,-399800000.0,,470400000.0,-447500000.0,2700000.0,-167500000.0,283300000.0,283300000.0,42500000.0,-431400000.0,47700000.0,13900000.0
1993-12-31,USD,370000000.0,,-82000000.0,346436000.0,40000000.0,676413000.0,972388000.0,295975000.0,43000000.0,280000000.0,23564000.0,14000000.0
1994-03-31,USD,-17000000.0,,68000000.0,-92436000.0,17000000.0,972388000.0,1087000000.0,114612000.0,38000000.0,-75000000.0,75436000.0,14000000.0
1994-06-30,USD,142000000.0,,14000000.0,117625000.0,139000000.0,1087000000.0,1141695000.0,54695000.0,41000000.0,-39000000.0,24375000.0,14000000.0
1994-09-30,USD,242038000.0,,-207964000.0,205826000.0,114655000.0,1141695000.0,1203488000.0,61793000.0,45620000.0,81102000.0,36212000.0,14285000.0
1994-12-31,USD,453000000.0,,-89000000.0,431000000.0,188000000.0,1203000000.0,1148000000.0,-55000000.0,38000000.0,222000000.0,22000000.0,14000000.0
1995-03-31,USD,6000000.0,,432000000.0,-24000000.0,73000000.0,1148000000.0,1375000000.0,227000000.0,29000000.0,-91000000.0,30000000.0,15000000.0
1995-06-30,USD,-26000000.0,,-225000000.0,-84000000.0,103000000.0,1375000000.0,1168000000.0,-207000000.0,37000000.0,-167000000.0,58000000.0,14000000.0
1995-09-30,USD,-673000000.0,,77000000.0,-722000000.0,60000000.0,1168000000.0,756000000.0,-412000000.0,23000000.0,-761000000.0,49000000.0,15000000.0
1995-12-31,USD,187000000.0,,28000000.0,156000000.0,-69000000.0,756000000.0,824000000.0,68000000.0,42000000.0,213000000.0,31000000.0,15000000.0
1996-03-31,USD,-364000000.0,,-129000000.0,-373000000.0,-740000000.0,824000000.0,500000000.0,-324000000.0,46000000.0,331000000.0,9000000.0,1000000.0
1996-06-30,USD,287000000.0,,484000000.0,272000000.0,-32000000.0,500000000.0,1359000000.0,859000000.0,22000000.0,256000000.0,15000000.0,
1996-09-30,USD,407000000.0,,13000000.0,395000000.0,25000000.0,1359000000.0,1552000000.0,193000000.0,46000000.0,309000000.0,12000000.0,
