date,currency_symbol,totalCashFromOperatingActivities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,freeCashFlow,netIncome,beginPeriodCashFlow,endPeriodCashFlow,changeInCash,depreciation,changeInWorkingCapital,capitalExpenditures,dividendsPaid,totalRevenue,grossProfit,operatingIncome,ebitda,costOfRevenue,sellingGeneralAdministrative,researchDevelopment,totalOperatingExpenses,cash,cashAndEquivalents,shortTermInvestments,cashAndShortTermInvestments,totalCurrentAssets,totalCurrentLiabilities,inventory,netReceivables,accountsPayable,netWorkingCapital,totalAssets,longTermDebt,totalStockholderEquity,longTermInvestments,revenue_growth_rate,fcf_margin,working_capital,working_capital_pct_revenue,ocf_conversion,year
1989-09-30,USD,507300000.0,,-38300000.0,268300000.0,454000000.0,372400000.0,438300000.0,65900000.0,124800000.0,-109000000.0,239000000.0,50300000.0,5284000000.0,2714000000.0,634300000.0,759100000.0,2570000000.0,1954900000.0,,2079700000.0,438300000.0,438300000.0,,438300000.0,2294400000.0,895300000.0,475400000.0,792800000.0,334200000.0,,2743900000.0,,1485700000.0,,,0.05077592732778198,1399100000.0,0.26478046934140803,1.1174008810572686,1989
1990-09-30,USD,963900000.0,,-454000000.0,739600000.0,474900000.0,438300000.0,374700000.0,-63600000.0,202700000.0,145300000.0,224300000.0,53800000.0,5558400000.0,3154900000.0,712000000.0,914700000.0,2403500000.0,2240200000.0,,2442900000.0,374700000.0,374700000.0,,374700000.0,2403300000.0,1027000000.0,355500000.0,761900000.0,340600000.0,,2975700000.0,,1446800000.0,,0.051930355791067306,0.13305987334484745,1376300000.0,0.24760722510074842,2.0296904611497157,1990
1991-09-30,USD,128700000.0,,42500000.0,-89600000.0,309800000.0,374700000.0,604200000.0,229500000.0,204400000.0,-400700000.0,218300000.0,56500000.0,6308800000.0,3199100000.0,447300000.0,651700000.0,3109700000.0,2547400000.0,,2751800000.0,604100000.0,604100000.0,,604100000.0,2863600000.0,1217100000.0,671700000.0,907200000.0,357100000.0,,3493600000.0,,1766700000.0,,0.13500287852619453,-0.014202383971595232,1646500000.0,0.2609846563530307,0.4154293092317624,1991
1992-09-30,USD,883700000.0,,-76700000.0,688800000.0,530400000.0,604100000.0,498500000.0,-105600000.0,217200000.0,20700000.0,194853000.0,57200000.0,7086542000.0,3312300000.0,805700000.0,1081332000.0,3991337000.0,2289400000.0,602135000.0,2289397000.0,498600000.0,498600000.0,,498600000.0,3558400000.0,1425500000.0,580100000.0,1087200000.0,426900000.0,,4223700000.0,,2187400000.0,,0.1232789119959421,0.09719832324425651,2132900000.0,0.3009789541923268,1.6661010558069382,1992
1993-09-30,USD,-661800000.0,,346900000.0,-874900000.0,86600000.0,498600000.0,676500000.0,177900000.0,166100000.0,-946700000.0,213118000.0,55600000.0,7977000000.0,2894300000.0,81100000.0,318000000.0,5249000000.0,2617800000.0,665000000.0,2618000000.0,676400000.0,676400000.0,215890000.0,676400000.0,4338400000.0,2515200000.0,1506600000.0,1381900000.0,742600000.0,,5171400000.0,,2026400000.0,,0.12565479750208208,-0.10967782374326188,1823200000.0,0.22855710166729346,-7.64203233256351,1993
1994-09-30,USD,736995000.0,,-208118000.0,577408000.0,310178000.0,676413000.0,1203488000.0,527075000.0,167958000.0,247729000.0,159587000.0,56572000.0,9188748000.0,2343833000.0,522274000.0,708000000.0,6844915000.0,1384111000.0,564303000.0,1821000000.0,1203488000.0,1203488000.0,54368000.0,1257856000.0,4476452000.0,1944305000.0,1088434000.0,1581347000.0,881717000.0,,5302746000.0,,2383301000.0,,0.15190522752914637,0.062838593462352,2532147000.0,0.27557040415081574,2.3760389195881073,1994
1995-09-30,USD,-240000000.0,,195000000.0,-399000000.0,424000000.0,1203000000.0,756000000.0,-447000000.0,127000000.0,-797000000.0,159000000.0,58000000.0,11062000000.0,2858000000.0,684000000.0,849000000.0,8204000000.0,1583000000.0,614000000.0,2174000000.0,756000000.0,756000000.0,196000000.0,952000000.0,5224000000.0,2325000000.0,1775000000.0,1931000000.0,1165000000.0,,6231000000.0,,2901000000.0,,0.20386368197277793,-0.03606942686675104,2899000000.0,0.26206834207195806,-0.5660377358490566,1995
1996-09-30,USD,519000000.0,,396000000.0,452000000.0,-816000000.0,756000000.0,1552000000.0,796000000.0,156000000.0,1109000000.0,67000000.0,14000000.0,9833000000.0,968000000.0,-1204000000.0,-1119000000.0,8865000000.0,1568000000.0,604000000.0,2351000000.0,1552000000.0,1552000000.0,193000000.0,1745000000.0,4515000000.0,2003000000.0,662000000.0,1496000000.0,791000000.0,,5364000000.0,,2058000000.0,,-0.11110106671487974,0.04596765992067528,2512000000.0,0.2554662869927794,-0.6360294117647058,1996
1997-09-30,USD,188000000.0,,23000000.0,135000000.0,-1045000000.0,1552000000.0,1230000000.0,-322000000.0,118000000.0,670000000.0,53000000.0,,7081000000.0,1368000000.0,-778000000.0,-856000000.0,5713000000.0,1286000000.0,860000000.0,2438000000.0,1230000000.0,1230000000.0,229000000.0,1459000000.0,3424000000.0,1818000000.0,437000000.0,1035000000.0,685000000.0,,4233000000.0,,1200000000.0,,-0.27987389403030616,0.01906510379889846,1606000000.0,0.2268041237113402,-0.1799043062200957,1997
1998-09-30,USD,775000000.0,,19000000.0,719000000.0,309000000.0,1230000000.0,1481000000.0,251000000.0,111000000.0,387000000.0,56000000.0,,5941000000.0,1479000000.0,299000000.0,502000000.0,4462000000.0,908000000.0,310000000.0,1218000000.0,1481000000.0,1481000000.0,819000000.0,2300000000.0,3698000000.0,1520000000.0,78000000.0,955000000.0,719000000.0,,4289000000.0,,1642000000.0,,-0.1609942098573648,0.12102339673455648,2178000000.0,0.36660494866184146,2.5080906148867315,1998
