date,year,currency_symbol,totalCashFromOperatingActivities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,freeCashFlow,changeInCash,totalRevenue,grossProfit,operatingIncome,ebitda,netIncome,revenue_growth_rate,fcf_margin,ocf_conversion
1989-09-30,1989,USD,507300000.0,,-38300000.0,268300000.0,65900000.0,5284000000.0,2714000000.0,634300000.0,759100000.0,454000000.0,,0.05077592732778198,1.1174008810572686
1990-09-30,1990,USD,963900000.0,,-454000000.0,739600000.0,-63600000.0,5558400000.0,3154900000.0,712000000.0,914700000.0,474900000.0,0.051930355791067306,0.13305987334484745,2.0296904611497157
1991-09-30,1991,USD,128700000.0,,42500000.0,-89600000.0,229500000.0,6308800000.0,3199100000.0,447300000.0,651700000.0,309800000.0,0.13500287852619453,-0.014202383971595232,0.4154293092317624
1992-09-30,1992,USD,883700000.0,,-76700000.0,688800000.0,-105600000.0,7086542000.0,3312300000.0,805700000.0,1081332000.0,530400000.0,0.1232789119959421,0.09719832324425651,1.6661010558069382
1993-09-30,1993,USD,-661800000.0,,346900000.0,-874900000.0,177900000.0,7977000000.0,2894300000.0,81100000.0,318000000.0,86600000.0,0.12565479750208208,-0.10967782374326188,-7.64203233256351
1994-09-30,1994,USD,736995000.0,,-208118000.0,577408000.0,527075000.0,9188748000.0,2343833000.0,522274000.0,708000000.0,310178000.0,0.15190522752914637,0.062838593462352,2.3760389195881073
1995-09-30,1995,USD,-240000000.0,,195000000.0,-399000000.0,-447000000.0,11062000000.0,2858000000.0,684000000.0,849000000.0,424000000.0,0.20386368197277793,-0.03606942686675104,-0.5660377358490566
1996-09-30,1996,USD,519000000.0,,396000000.0,452000000.0,796000000.0,9833000000.0,968000000.0,-1204000000.0,-1119000000.0,-816000000.0,-0.11110106671487974,0.04596765992067528,-0.6360294117647058
1997-09-30,1997,USD,188000000.0,,23000000.0,135000000.0,-322000000.0,7081000000.0,1368000000.0,-778000000.0,-856000000.0,-1045000000.0,-0.27987389403030616,0.01906510379889846,-0.1799043062200957
1998-09-30,1998,USD,775000000.0,,19000000.0,719000000.0,251000000.0,5941000000.0,1479000000.0,299000000.0,502000000.0,309000000.0,-0.1609942098573648,0.12102339673455648,2.5080906148867315
1999-09-30,1999,USD,798000000.0,,11000000.0,751000000.0,-155000000.0,6134000000.0,1696000000.0,528000000.0,808000000.0,601000000.0,0.03248611344891428,0.12243234431040104,1.3277870216306156
2000-09-30,2000,USD,826000000.0,,-31000000.0,719000000.0,-135000000.0,7983000000.0,2166000000.0,836000000.0,1197000000.0,786000000.0,0.30143462667101395,0.09006639108104722,1.0508905852417303
2001-09-30,2001,USD,185000000.0,892000000.0,42000000.0,-47000000.0,1119000000.0,5363000000.0,1235000000.0,-344000000.0,53000000.0,-37000000.0,-0.3281974195164725,-0.008763751631549506,-5.0
2002-09-30,2002,USD,89000000.0,,105000000.0,-85000000.0,-58000000.0,5742000000.0,1603000000.0,168000000.0,212000000.0,65000000.0,0.07066940145440981,-0.014803204458376872,1.3692307692307693
2003-09-30,2003,USD,289000000.0,828000000.0,27000000.0,125000000.0,1144000000.0,6207000000.0,1708000000.0,89000000.0,138000000.0,68000000.0,0.08098223615464994,0.020138553246334782,4.25
2004-09-30,2004,USD,934000000.0,,127000000.0,758000000.0,-427000000.0,8279000000.0,2259000000.0,326000000.0,536000000.0,276000000.0,0.33381665861124543,0.09155695132262351,3.3840579710144927
2005-09-30,2005,USD,2535000000.0,,543000000.0,2275000000.0,522000000.0,13931000000.0,4042000000.0,1643000000.0,1822000000.0,1335000000.0,0.6826911462737046,0.1633048596654942,1.898876404494382
2006-09-30,2006,USD,2220000000.0,357000000.0,324000000.0,1563000000.0,2901000000.0,19315000000.0,5598000000.0,2453000000.0,2678000000.0,1989000000.0,0.3864762041490202,0.0809215635516438,1.1161387631975868
2007-09-30,2007,USD,5470000000.0,,739000000.0,4484000000.0,2960000000.0,24006000000.0,8154000000.0,4409000000.0,4724000000.0,3496000000.0,0.24286823712140815,0.18678663667416479,1.5646453089244852
2008-09-30,2008,USD,9596000000.0,,1116000000.0,8397000000.0,2523000000.0,32479000000.0,11145000000.0,6275000000.0,7304000000.0,4834000000.0,0.3529534283095892,0.2585362849841436,1.9851055026892843
2009-09-30,2009,USD,10159000000.0,-17434000000.0,663000000.0,8946000000.0,-6612000000.0,42905000000.0,17222000000.0,11370000000.0,12725000000.0,5704000000.0,0.3210074201791928,0.2085071669968535,1.7810308555399719
2010-09-30,2010,USD,18595000000.0,-13854000000.0,1257000000.0,16474000000.0,5998000000.0,65225000000.0,25684000000.0,18270000000.0,19424000000.0,14013000000.0,0.5202190886843026,0.2525718666155615,1.326982088061086
2011-09-30,2011,USD,37529000000.0,-40419000000.0,1444000000.0,30077000000.0,-1446000000.0,108249000000.0,44522000000.0,34494000000.0,35997000000.0,25922000000.0,0.6596243771559984,0.2778501418026956,1.4477663760512307
2012-09-30,2012,USD,50856000000.0,-48227000000.0,-1698000000.0,41454000000.0,931000000.0,156508000000.0,68662000000.0,55241000000.0,58968000000.0,41733000000.0,0.44581474193756976,0.2648682495463491,1.2186039824599237
2013-09-30,2013,USD,53666000000.0,-33774000000.0,-16379000000.0,44590000000.0,3513000000.0,170910000000.0,64304000000.0,48999000000.0,57051000000.0,37037000000.0,0.0920208551639532,0.2608975484172957,1.448983448983449
