date,currency_symbol,totalRevenue,grossProfit,operatingIncome,ebitda,netIncome,costOfRevenue,sellingGeneralAdministrative,researchDevelopment,totalOperatingExpenses
1985-09-30,USD,1918300000.0,842300000.0,147300000.0,189100000.0,61200000.0,1076000000.0,653200000.0,,695000000.0
1986-09-30,USD,1901900000.0,1061900000.0,273500000.0,324600000.0,154000000.0,840000000.0,737300000.0,,788400000.0
1987-09-30,USD,2661100000.0,1435400000.0,371500000.0,442000000.0,217500000.0,1225700000.0,993400000.0,,1063900000.0
1988-09-30,USD,4071400000.0,2158200000.0,620300000.0,698000000.0,400300000.0,1913200000.0,1460200000.0,,1537900000.0
1989-09-30,USD,5284000000.0,2714000000.0,634300000.0,759100000.0,454000000.0,2570000000.0,1954900000.0,,2079700000.0
1990-09-30,USD,5558400000.0,3154900000.0,712000000.0,914700000.0,474900000.0,2403500000.0,2240200000.0,,2442900000.0
1991-09-30,USD,6308800000.0,3199100000.0,447300000.0,651700000.0,309800000.0,3109700000.0,2547400000.0,,2751800000.0
1992-09-30,USD,7086542000.0,3312300000.0,805700000.0,1081332000.0,530373000.0,3991337000.0,2289400000.0,602135000.0,2289397000.0
1993-09-30,USD,7977000000.0,2894300000.0,81100000.0,318000000.0,87000000.0,5249000000.0,2617800000.0,665000000.0,2618000000.0
1994-09-30,USD,9188748000.0,2343833000.0,522274000.0,708000000.0,310000000.0,6844915000.0,1384111000.0,564303000.0,1821000000.0
1995-09-30,USD,11062000000.0,2858000000.0,684000000.0,849000000.0,424000000.0,8204000000.0,1583000000.0,614000000.0,2174000000.0
1996-09-30,USD,9833000000.0,968000000.0,-1204000000.0,-1119000000.0,-816000000.0,8865000000.0,1568000000.0,604000000.0,2351000000.0
1997-09-30,USD,7081000000.0,1368000000.0,-778000000.0,-856000000.0,-1326000000.0,5713000000.0,1286000000.0,860000000.0,2438000000.0
1998-09-30,USD,5941000000.0,1479000000.0,299000000.0,502000000.0,309000000.0,4462000000.0,908000000.0,310000000.0,1218000000.0
1999-09-30,USD,6134000000.0,1696000000.0,528000000.0,808000000.0,601000000.0,4438000000.0,996000000.0,314000000.0,1337000000.0
2000-09-30,USD,7983000000.0,2166000000.0,836000000.0,1197000000.0,786000000.0,5817000000.0,1166000000.0,380000000.0,1644000000.0
2001-09-30,USD,5363000000.0,1235000000.0,-344000000.0,53000000.0,-25000000.0,4128000000.0,1138000000.0,441000000.0,1579000000.0
2002-09-30,USD,5742000000.0,1603000000.0,168000000.0,212000000.0,65000000.0,4139000000.0,1111000000.0,447000000.0,1586000000.0
2003-09-30,USD,6207000000.0,1708000000.0,89000000.0,138000000.0,69000000.0,4499000000.0,1212000000.0,471000000.0,1709000000.0
2004-09-30,USD,8279000000.0,2259000000.0,326000000.0,536000000.0,266000000.0,6022000000.0,1421000000.0,491000000.0,1944000000.0
2005-09-30,USD,13931000000.0,4042000000.0,1643000000.0,1822000000.0,1328000000.0,9889000000.0,1859000000.0,535000000.0,2399000000.0
2006-09-30,USD,19315000000.0,5598000000.0,2453000000.0,2678000000.0,1989000000.0,13717000000.0,2433000000.0,712000000.0,3145000000.0
2007-09-30,USD,24006000000.0,8154000000.0,4409000000.0,4724000000.0,3495000000.0,15852000000.0,2963000000.0,782000000.0,3745000000.0
2008-09-30,USD,32479000000.0,11145000000.0,6275000000.0,7304000000.0,4834000000.0,21334000000.0,3761000000.0,1109000000.0,4870000000.0
2009-09-30,USD,42905000000.0,17222000000.0,11370000000.0,12725000000.0,8235000000.0,25683000000.0,4149000000.0,1333000000.0,5482000000.0
2010-09-30,USD,65225000000.0,25684000000.0,18270000000.0,19424000000.0,14013000000.0,39541000000.0,5517000000.0,1782000000.0,7299000000.0
2011-09-30,USD,108249000000.0,44522000000.0,34494000000.0,35997000000.0,25922000000.0,64431000000.0,7599000000.0,2429000000.0,10028000000.0
2012-09-30,USD,156508000000.0,68662000000.0,55241000000.0,58968000000.0,41733000000.0,87846000000.0,9040000000.0,3381000000.0,13421000000.0
2013-09-30,USD,170910000000.0,64304000000.0,48999000000.0,57051000000.0,37037000000.0,106606000000.0,9730000000.0,4475000000.0,15305000000.0
2014-09-30,USD,182795000000.0,70537000000.0,52503000000.0,61867000000.0,39510000000.0,112258000000.0,11993000000.0,6041000000.0,18034000000.0
2015-09-30,USD,233715000000.0,93626000000.0,71230000000.0,83748000000.0,53394000000.0,140089000000.0,14329000000.0,8067000000.0,22396000000.0
2016-09-30,USD,215639000000.0,84263000000.0,60024000000.0,72628000000.0,45687000000.0,131376000000.0,14194000000.0,10045000000.0,24239000000.0
2017-09-30,USD,229234000000.0,88186000000.0,61344000000.0,75812000000.0,48351000000.0,141048000000.0,15261000000.0,11581000000.0,26842000000.0
2018-09-30,USD,265595000000.0,101839000000.0,70898000000.0,87046000000.0,59531000000.0,163756000000.0,16705000000.0,14236000000.0,30941000000.0
2019-09-30,USD,260174000000.0,98392000000.0,63930000000.0,81860000000.0,55256000000.0,161782000000.0,18245000000.0,16217000000.0,34462000000.0
2020-09-30,USD,274515000000.0,104956000000.0,66288000000.0,81020000000.0,57411000000.0,169559000000.0,19916000000.0,18752000000.0,38668000000.0
2021-09-30,USD,365817000000.0,152836000000.0,108949000000.0,123136000000.0,94680000000.0,212981000000.0,21973000000.0,21914000000.0,43887000000.0
2022-09-30,USD,394328000000.0,170782000000.0,119437000000.0,130541000000.0,99803000000.0,223546000000.0,25094000000.0,26251000000.0,51573000000.0
2023-09-30,USD,383285000000.0,169148000000.0,114301000000.0,125820000000.0,96995000000.0,214137000000.0,24932000000.0,29915000000.0,54847000000.0
2024-09-30,USD,391035000000.0,180683000000.0,123216000000.0,134661000000.0,93736000000.0,210352000000.0,26097000000.0,31370000000.0,57467000000.0
