date,currency_symbol,totalRevenue,grossProfit,operatingIncome,ebitda,netIncome,costOfRevenue,sellingGeneralAdministrative,researchDevelopment,totalOperatingExpenses
1985-09-30,USD,409700000.0,409700000.0,-1361300000.0,-1361300000.0,22300000.0,,,,1771000000.0
1985-12-31,USD,533900000.0,533900000.0,533900000.0,533900000.0,56900000.0,,,,
1986-03-31,USD,408900000.0,408900000.0,408900000.0,408900000.0,31800000.0,,,,
1986-06-30,USD,448300000.0,448300000.0,448300000.0,448300000.0,32300000.0,,,,
1986-09-30,USD,510800000.0,510800000.0,-1117600000.0,-1117600000.0,32900000.0,,,,1628400000.0
1986-12-31,USD,662300000.0,662300000.0,662300000.0,662300000.0,58500000.0,,,,
1987-03-31,USD,575300000.0,575300000.0,575300000.0,575300000.0,33900000.0,,,,
1987-06-30,USD,637100000.0,637100000.0,637100000.0,637100000.0,53500000.0,,,,
1987-09-30,USD,786500000.0,786500000.0,-1503100000.0,-1503100000.0,71700000.0,,,,2289600000.0
1987-12-31,USD,1042400000.0,1042400000.0,1042400000.0,1042400000.0,121400000.0,,,,
1988-03-31,USD,867200000.0,867200000.0,867200000.0,867200000.0,79700000.0,,,,
1988-06-30,USD,993100000.0,993100000.0,993100000.0,993100000.0,91300000.0,,,,
1988-09-30,USD,1168700000.0,1168700000.0,-2282400000.0,-2282400000.0,108000000.0,,,,3451100000.0
1988-12-31,USD,1405100000.0,1405100000.0,1405100000.0,1405100000.0,140500000.0,,,,
1989-03-31,USD,1246900000.0,1246900000.0,1246900000.0,1246900000.0,56400000.0,,,,
1989-06-30,USD,1248200000.0,1248200000.0,1248200000.0,1248200000.0,96100000.0,,,,
1989-09-30,USD,1383700000.0,1383700000.0,-3266000000.0,-3266000000.0,161000000.0,,,,4649700000.0
1989-12-31,USD,1493400000.0,824900000.0,190000000.0,237800000.0,124800000.0,668500000.0,587100000.0,,634900000.0
1990-03-31,USD,1346200000.0,780900000.0,199200000.0,243500000.0,131800000.0,565300000.0,537400000.0,,581700000.0
1990-06-30,USD,1364800000.0,786500000.0,182300000.0,232200000.0,119800000.0,578300000.0,554300000.0,,604200000.0
1990-09-30,USD,1354100000.0,762700000.0,140600000.0,201400000.0,98500000.0,591400000.0,,,622100000.0
1990-12-31,USD,1675500000.0,907800000.0,228400000.0,275500000.0,150500000.0,767700000.0,632300000.0,,679400000.0
1991-03-31,USD,1597700000.0,825000000.0,186600000.0,232500000.0,131100000.0,772700000.0,592500000.0,,638400000.0
1991-06-30,USD,1528600000.0,753700000.0,-88800000.0,-35300000.0,-53100000.0,774900000.0,789100000.0,,842500000.0
1991-09-30,USD,1507000000.0,712700000.0,121300000.0,179200000.0,81200000.0,794300000.0,,,591400000.0
1991-12-31,USD,1862600000.0,863000000.0,262600000.0,312400000.0,166000000.0,999600000.0,550600000.0,,600400000.0
1992-03-31,USD,1716000000.0,805800000.0,210400000.0,260700000.0,135100000.0,910200000.0,545100000.0,,595400000.0
1992-06-30,USD,1740200000.0,828500000.0,201100000.0,258300000.0,131700000.0,911700000.0,570300000.0,,627400000.0
1992-09-30,USD,1767700000.0,815000000.0,131600000.0,191600000.0,97600000.0,952700000.0,,,683400000.0
1992-12-31,USD,2000292000.0,850300000.0,240800000.0,280186000.0,161341000.0,1189367000.0,570100000.0,160282000.0,570140000.0
1993-03-31,USD,1973900000.0,801900000.0,169100000.0,211899000.0,110900000.0,1172000000.0,591700000.0,,632800000.0
1993-06-30,USD,1862000000.0,647400000.0,-306700000.0,55626000.0,-188300000.0,1255975000.0,912700000.0,174169000.0,912670000.0
1993-09-30,USD,2140800000.0,592900000.0,10000000.0,49600000.0,2700000.0,1547900000.0,,,585800000.0
1993-12-31,USD,2468854000.0,592024000.0,64707000.0,108000000.0,40000000.0,1876830000.0,374705000.0,152612000.0,527317000.0
1994-03-31,USD,2077000000.0,499000000.0,35000000.0,74000000.0,17000000.0,1578000000.0,330000000.0,134000000.0,464000000.0
1994-06-30,USD,2149908000.0,573872000.0,-21289000.0,273000000.0,138000000.0,1576036000.0,332867000.0,135439000.0,468306000.0
1994-09-30,USD,2493286000.0,678873000.0,369235000.0,380551000.0,114655000.0,1814413000.0,346352000.0,142110000.0,488462000.0
1994-12-31,USD,2832000000.0,814000000.0,284000000.0,344000000.0,188000000.0,2018000000.0,415000000.0,132000000.0,530000000.0
1995-03-31,USD,2652000000.0,695000000.0,166000000.0,155000000.0,73000000.0,1957000000.0,386000000.0,143000000.0,529000000.0
1995-06-30,USD,2575000000.0,728000000.0,162000000.0,217000000.0,103000000.0,1847000000.0,404000000.0,168000000.0,566000000.0
1995-09-30,USD,3003000000.0,621000000.0,81000000.0,133000000.0,60000000.0,2382000000.0,378000000.0,171000000.0,549000000.0
1995-12-31,USD,3148000000.0,475000000.0,-119000000.0,-77000000.0,-69000000.0,2673000000.0,441000000.0,153000000.0,594000000.0
1996-03-31,USD,2185000000.0,-421000000.0,-1182000000.0,-929000000.0,-740000000.0,2606000000.0,404000000.0,150000000.0,761000000.0
1996-06-30,USD,2179000000.0,403000000.0,-116000000.0,-94000000.0,-32000000.0,1776000000.0,364000000.0,155000000.0,519000000.0
1996-09-30,USD,2321000000.0,511000000.0,-45000000.0,104000000.0,25000000.0,1810000000.0,359000000.0,146000000.0,477000000.0
1996-12-31,USD,2129000000.0,397000000.0,-124000000.0,-99000000.0,-116000000.0,1732000000.0,372000000.0,149000000.0,521000000.0
1997-03-31,USD,1601000000.0,303000000.0,-561000000.0,-531000000.0,-1010000000.0,1298000000.0,348000000.0,516000000.0,1019000000.0
1997-06-30,USD,1737000000.0,348000000.0,-60000000.0,-38000000.0,-52000000.0,1389000000.0,307000000.0,101000000.0,408000000.0
