date,date,filing_date,currency_symbol,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
1985-09-30,1985-09-30,1985-09-30,USD,,,-2722600000.00,,22300000.00,,,409700000.00,,,-1361300000.00,,,-1361300000.00,1771000000.00,,,,,,,,-2722600000.00,409700000.00,1771000000.00,,1361300000.00,,,,
1985-12-31,1985-12-31,1985-12-31,USD,,,1067800000.00,,56900000.00,,,533900000.00,,,533900000.00,,,533900000.00,,,,,,,,,1067800000.00,533900000.00,,,533900000.00,,,,
1986-03-31,1986-03-31,1986-03-31,USD,,,817800000.00,,31800000.00,,,408900000.00,,,408900000.00,,,408900000.00,,,,,,,,,817800000.00,408900000.00,,,408900000.00,,,,
1986-06-30,1986-06-30,1986-06-30,USD,,,896600000.00,,32300000.00,,,448300000.00,,,448300000.00,,,448300000.00,,,,,,,,,896600000.00,448300000.00,,,448300000.00,,,,
1986-09-30,1986-09-30,1986-09-30,USD,,,-2235200000.00,,32900000.00,,,510800000.00,,,-1117600000.00,,,-1117600000.00,1628400000.00,,,,,,,,-2235200000.00,510800000.00,1628400000.00,,1117600000.00,,,,
1986-12-31,1986-12-31,1986-12-31,USD,,,1324600000.00,,58500000.00,,,662300000.00,,,662300000.00,,,662300000.00,,,,,,,,,1324600000.00,662300000.00,,,662300000.00,,,,
1987-03-31,1987-03-31,1987-03-31,USD,,,1150600000.00,,33900000.00,,,575300000.00,,,575300000.00,,,575300000.00,,,,,,,,,1150600000.00,575300000.00,,,575300000.00,,,,
1987-06-30,1987-06-30,1987-06-30,USD,,,1274200000.00,,53500000.00,,,637100000.00,,,637100000.00,,,637100000.00,,,,,,,,,1274200000.00,637100000.00,,,637100000.00,,,,
1987-09-30,1987-09-30,1987-09-30,USD,,,-3006200000.00,,71700000.00,,,786500000.00,,,-1503100000.00,,,-1503100000.00,2289600000.00,,,,,,,,-3006200000.00,786500000.00,2289600000.00,,1503100000.00,,,,
1987-12-31,1987-12-31,1987-12-31,USD,,,2084800000.00,,121400000.00,,,1042400000.00,,,1042400000.00,,,1042400000.00,,,,,,,,,2084800000.00,1042400000.00,,,1042400000.00,,,,
