date,date,filing_date,currency_symbol,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,sellingAndMarketingExpenses,grossProfit,reconciledDepreciation,ebit,ebitda,depreciationAndAmortization,nonOperatingIncomeNetOther,operatingIncome,otherOperatingExpenses,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
1985-09-30,1985-09-30,1985-09-30,USD,,,120000000.00,,61200000.00,653200000.00,,842300000.00,,147300000.00,189100000.00,41800000.00,,147300000.00,1771000000.00,54500000.00,,,,,,,58800000.00,1918300000.00,695000000.00,1076000000.00,-27300000.00,,,,
1986-09-30,1986-09-30,1986-09-30,USD,,,309800000.00,,154000000.00,737300000.00,,1061900000.00,,273500000.00,324600000.00,51100000.00,,273500000.00,1628400000.00,72500000.00,,,,,,,155800000.00,1901900000.00,788400000.00,840000000.00,36300000.00,,,,
1987-09-30,1987-09-30,1987-09-30,USD,,,410400000.00,,217500000.00,993400000.00,,1435400000.00,,371500000.00,442000000.00,70500000.00,,371500000.00,2289600000.00,77800000.00,,,,,,,192900000.00,2661100000.00,1063900000.00,1225700000.00,38900000.00,,,,
1988-09-30,1988-09-30,1988-09-30,USD,,,656200000.00,,400300000.00,1460200000.00,,2158200000.00,,620300000.00,698000000.00,77700000.00,,620300000.00,3451100000.00,71700000.00,,,,,,,255900000.00,4071400000.00,1537900000.00,1913200000.00,35900000.00,,,,
1989-09-30,1989-09-30,1989-09-30,USD,,,744300000.00,,454000000.00,1954900000.00,,2714000000.00,,634300000.00,759100000.00,124800000.00,,634300000.00,4649700000.00,220000000.00,,,,,,,290300000.00,5284000000.00,2079700000.00,2570000000.00,110000000.00,,,,
1990-09-30,1990-09-30,1990-09-30,USD,,,778500000.00,,474900000.00,2240200000.00,,3154900000.00,,712000000.00,914700000.00,202700000.00,,712000000.00,4846400000.00,133000000.00,,,,,,,303600000.00,5558400000.00,2442900000.00,2403500000.00,66500000.00,,,,
1991-09-30,1991-09-30,1991-09-30,USD,,,499700000.00,,309800000.00,2547400000.00,,3199100000.00,,447300000.00,651700000.00,204400000.00,,447300000.00,5861500000.00,104800000.00,,,,,,,189900000.00,6308800000.00,2751800000.00,3109700000.00,52400000.00,,,,
1992-09-30,1992-09-30,1992-09-30,USD,602135000.00,,855500000.00,,530373000.00,2289400000.00,,3312300000.00,,864132000.00,1081332000.00,217200000.00,,805700000.00,6280734000.00,8708000.00,,,,,,,325100000.00,7086542000.00,2289397000.00,3991337000.00,49634000.00,,,,
1993-09-30,1993-09-30,1993-09-30,USD,665000000.00,,139700000.00,,87000000.00,2617800000.00,,2894300000.00,,151900000.00,318000000.00,166100000.00,,81100000.00,7867000000.00,12000000.00,,,,,,,53100000.00,7977000000.00,2618000000.00,5249000000.00,30000000.00,,,,
1994-09-30,1994-09-30,1994-12-13,USD,564303000.00,,500286000.00,,310000000.00,1384111000.00,,2343833000.00,,540042000.00,708000000.00,167958000.00,,522274000.00,8667000000.00,39653000.00,,,,,,,190108000.00,9188748000.00,1821000000.00,6844915000.00,-22000000.00,,,,
1995-09-30,1995-09-30,1995-12-19,USD,614000000.00,,674000000.00,,424000000.00,1583000000.00,,2858000000.00,,722000000.00,849000000.00,127000000.00,,684000000.00,10378000000.00,48000000.00,,,,,,,250000000.00,11062000000.00,2174000000.00,8204000000.00,-10000000.00,,,,
1996-09-30,1996-09-30,1996-12-19,USD,604000000.00,,-1295000000.00,,-816000000.00,1568000000.00,,968000000.00,,-1235000000.00,-1119000000.00,116000000.00,,-1204000000.00,11216000000.00,60000000.00,,,,,,,-479000000.00,9833000000.00,2351000000.00,8865000000.00,88000000.00,,,,
1997-09-30,1997-09-30,1997-12-05,USD,860000000.00,,-1045000000.00,,-1326000000.00,1286000000.00,,1368000000.00,,-974000000.00,-856000000.00,118000000.00,,-778000000.00,8151000000.00,71000000.00,,,,,,,281000000.00,7081000000.00,2438000000.00,5713000000.00,25000000.00,,,,
1998-09-30,1998-09-30,1998-12-23,USD,310000000.00,,329000000.00,,309000000.00,908000000.00,,1479000000.00,,391000000.00,502000000.00,111000000.00,,299000000.00,5680000000.00,62000000.00,,,,,,,20000000.00,5941000000.00,1218000000.00,4462000000.00,68000000.00,,,,
1999-09-30,1999-09-30,1999-12-22,USD,314000000.00,,676000000.00,,601000000.00,996000000.00,,1696000000.00,,723000000.00,808000000.00,85000000.00,,528000000.00,5775000000.00,47000000.00,,,,,,,75000000.00,6134000000.00,1337000000.00,4438000000.00,317000000.00,,,,
2000-09-30,2000-09-30,2000-12-14,USD,380000000.00,,1092000000.00,,786000000.00,1166000000.00,,2166000000.00,,1113000000.00,1197000000.00,84000000.00,,836000000.00,7461000000.00,21000000.00,,,,,,,306000000.00,7983000000.00,1644000000.00,5817000000.00,570000000.00,,,786000000.00,
2001-09-30,2001-09-30,2001-12-21,USD,441000000.00,,-52000000.00,,-25000000.00,1138000000.00,,1235000000.00,,-49000000.00,53000000.00,102000000.00,,-344000000.00,5707000000.00,16000000.00,,,,12000000.00,,,-15000000.00,5363000000.00,1579000000.00,4128000000.00,292000000.00,,,,
2002-09-30,2002-09-30,2002-12-19,USD,447000000.00,,87000000.00,,65000000.00,1111000000.00,,1603000000.00,,98000000.00,212000000.00,114000000.00,,168000000.00,5725000000.00,11000000.00,,,,,,,22000000.00,5742000000.00,1586000000.00,4139000000.00,70000000.00,,,65000000.00,
2003-09-30,2003-09-30,2003-12-19,USD,471000000.00,,92000000.00,,69000000.00,1212000000.00,,1708000000.00,,25000000.00,138000000.00,113000000.00,,89000000.00,6208000000.00,8000000.00,,,,1000000.00,,,24000000.00,6207000000.00,1709000000.00,4499000000.00,93000000.00,,,68000000.00,
2004-09-30,2004-09-30,2004-12-03,USD,491000000.00,,383000000.00,,266000000.00,1421000000.00,,2259000000.00,,386000000.00,536000000.00,150000000.00,,326000000.00,7966000000.00,3000000.00,,,,,,,107000000.00,8279000000.00,1944000000.00,6022000000.00,57000000.00,,,276000000.00,
2005-09-30,2005-09-30,2005-12-01,USD,535000000.00,,1815000000.00,,1328000000.00,1859000000.00,,4042000000.00,,1643000000.00,1822000000.00,179000000.00,,1643000000.00,12288000000.00,165000000.00,,,,,,,480000000.00,13931000000.00,2399000000.00,9889000000.00,165000000.00,,,1335000000.00,
2006-09-30,2006-09-30,2006-12-29,USD,712000000.00,,2818000000.00,,1989000000.00,2433000000.00,,5598000000.00,,2453000000.00,2678000000.00,225000000.00,,2453000000.00,16862000000.00,365000000.00,,,,,,,829000000.00,19315000000.00,3145000000.00,13717000000.00,365000000.00,,,1989000000.00,
2007-09-30,2007-09-30,2007-11-15,USD,782000000.00,,5008000000.00,,3495000000.00,2963000000.00,,8154000000.00,,4407000000.00,4724000000.00,317000000.00,,4409000000.00,19597000000.00,599000000.00,,,,,,,1512000000.00,24006000000.00,3745000000.00,15852000000.00,599000000.00,,,3496000000.00,
2008-09-30,2008-09-30,2008-11-05,USD,1109000000.00,,6895000000.00,,4834000000.00,3761000000.00,,11145000000.00,,6808000000.00,7304000000.00,496000000.00,,6275000000.00,26204000000.00,620000000.00,,,,,,,2061000000.00,32479000000.00,4870000000.00,21334000000.00,620000000.00,,,4834000000.00,
2009-09-30,2009-09-30,2009-10-27,USD,1333000000.00,,12066000000.00,,8235000000.00,4149000000.00,,17222000000.00,,11991000000.00,12725000000.00,734000000.00,326000000.00,11370000000.00,31165000000.00,326000000.00,,,,,,,3831000000.00,42905000000.00,5482000000.00,25683000000.00,326000000.00,,8235000000.00,8235000000.00,
2010-09-30,2010-09-30,2010-10-27,USD,1782000000.00,,18540000000.00,,14013000000.00,5517000000.00,,25684000000.00,,18397000000.00,19424000000.00,1027000000.00,155000000.00,18270000000.00,46840000000.00,155000000.00,,,,,,,4527000000.00,65225000000.00,7299000000.00,39541000000.00,270000000.00,,14013000000.00,14013000000.00,
2011-09-30,2011-09-30,2011-10-26,USD,2429000000.00,,34205000000.00,,25922000000.00,7599000000.00,,44522000000.00,,34183000000.00,35997000000.00,1814000000.00,415000000.00,34494000000.00,74459000000.00,415000000.00,,,,,,,8283000000.00,108249000000.00,10028000000.00,64431000000.00,415000000.00,,25922000000.00,25922000000.00,
2012-09-30,2012-09-30,2012-10-31,USD,3381000000.00,,55763000000.00,,41733000000.00,9040000000.00,1000000000.00,68662000000.00,,55691000000.00,58968000000.00,3277000000.00,522000000.00,55241000000.00,101267000000.00,522000000.00,,,,,,,14030000000.00,156508000000.00,13421000000.00,87846000000.00,522000000.00,,41733000000.00,41733000000.00,
2013-09-30,2013-09-30,2013-10-30,USD,4475000000.00,,50155000000.00,,37037000000.00,9730000000.00,1100000000.00,64304000000.00,,50294000000.00,57051000000.00,6757000000.00,1156000000.00,48999000000.00,121911000000.00,136000000.00,,,,,,,13118000000.00,170910000000.00,15305000000.00,106606000000.00,1156000000.00,,37037000000.00,37037000000.00,
2014-09-30,2014-09-30,2014-10-27,USD,6041000000.00,,53483000000.00,,39510000000.00,11993000000.00,,70537000000.00,,53921000000.00,61867000000.00,7946000000.00,980000000.00,52503000000.00,130292000000.00,384000000.00,,,,,,,13973000000.00,182795000000.00,18034000000.00,112258000000.00,980000000.00,,39510000000.00,39510000000.00,
2015-09-30,2015-09-30,2015-10-28,USD,8067000000.00,,72515000000.00,,53394000000.00,14329000000.00,,93626000000.00,,72491000000.00,83748000000.00,11257000000.00,1285000000.00,71230000000.00,162485000000.00,733000000.00,19121000000.00,,,,,,19121000000.00,233715000000.00,22396000000.00,140089000000.00,1285000000.00,,53394000000.00,53394000000.00,
2016-09-30,2016-09-30,2016-10-26,USD,10045000000.00,,61372000000.00,,45687000000.00,14194000000.00,,84263000000.00,,62828000000.00,72628000000.00,9800000000.00,1348000000.00,60024000000.00,155615000000.00,1456000000.00,15685000000.00,3999000000.00,2543000000.00,,,,15685000000.00,215639000000.00,24239000000.00,131376000000.00,1348000000.00,,45687000000.00,45687000000.00,
